idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,4,"[['market', 'forecast_action', 'capacity', 'up'], ['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'tariff', 'down']]","[['united_states', 'report_action', 'price', 'down'], ['united_states', 'trade_policy_action', 'export', 'down'], ['poultry_company', 'production_action', 'capacity', 'up'], ['market', 'market_action', 'price', 'down']]",0.0,0.0,0.0,0.08479005131840403,1.0,0.0
1,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['united_states', 'forecast_action', 'production', 'up'], ['poultry_company', 'production_action', 'capacity', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'down'], ['united_states', 'subsidy_action', 'production', 'up'], ['united_states', 'report_action', 'poultry_product', 'up']]",0.0,0.0,0.0,0.2792537931316096,1.0,0.0
2,3,5,"[['market', 'forecast_action', 'production', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_company', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'up'], ['market', 'forecast_action', 'price', 'down'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up'], ['market', 'demand_action', 'poultry_product', 'down']]",0.0,0.0,0.0,0.11731968150568911,1.0,0.0
3,3,5,"[['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'ambiguous']]","[['united_states', 'trade_policy_action', 'tariff', 'up'], ['poultry_industry_association', 'forecast_action', 'price', 'up'], ['claxton_poultry_farms', 'production_action', 'capacity', 'down'], ['market', 'price_action', 'poultry_product', 'up'], ['us_government_agency', 'guideline', 'production', 'up']]",0.0,0.0,0.0,0.1480409554829326,1.0,0.0
4,1,5,"[['us_government_agency', 'subsidy_action', 'capacity', 'ambiguous']]","[['poultry_company', 'production_action', 'capacity', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'down'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'down'], ['market', 'forecast_action', 'price', 'down'], ['us_government_agency', 'subsidy_action', 'subsidy', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['us_government_agency', 'approval_action', 'poultry_product', 'ambiguous']]","[['united_states', 'report_action', 'price', 'up'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['claxton_poultry_farms', 'production_action', 'capacity', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
6,2,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up']]","[['united_states', 'report_action', 'poultry_product', 'up'], ['poultry_industry_association', 'production_action', 'capacity', 'down'], ['market', 'price_action', 'poultry_product', 'up'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['claxton_poultry_farms', 'health_event_action', 'disease_event', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
7,4,5,"[['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'up']]","[['us_government_agency', 'forecast_action', 'price', 'up'], ['poultry_company', 'production_action', 'capacity', 'up'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'up'], ['market', 'report_action', 'poultry_product', 'up']]",0.0,0.0,0.0,0.19519002499605084,1.0,0.0
8,3,0,"[['market', 'report_action', 'production', 'ambiguous'], ['united_states', 'forecast_action', 'production', 'down'], ['us_government_agency', 'forecast_action', 'price', 'down']]",[],0.0,0.0,0.0,0.0,1.0,0.0
9,4,5,"[['market', 'forecast_action', 'import', 'up'], ['market', 'forecast_action', 'production', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'down']]","[['market', 'price_action', 'price', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'up'], ['poultry_industry_association', 'production_action', 'capacity', 'down'], ['claxton_poultry_farms', 'health_event_action', 'disease_event', 'up'], ['poultry_company', 'forecast_action', 'poultry_product', 'up']]",0.2,0.25,0.22222222222222224,0.27326603499447116,1.0,0.14
10,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'down']]","[['us_government_agency', 'subsidy_action', 'production', 'down'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'down'], ['united_states', 'trade_policy_action', 'tariff', 'down'], ['market', 'forecast_action', 'price', 'down'], ['market', 'health_event_action', 'demand', 'down']]",0.2,0.25,0.22222222222222224,0.36331756126716835,1.0,0.14
11,1,5,"[['market', 'health_event_action', 'disease_event', 'ambiguous']]","[['us_government_agency', 'report_action', 'production', 'down'], ['poultry_company', 'production_action', 'capacity', 'up'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'up'], ['market', 'forecast_action', 'price', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
12,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'price_action', 'export', 'down'], ['market', 'price_action', 'price', 'ambiguous']]","[['united_states', 'forecast_action', 'price', 'down'], ['poultry_company', 'production_action', 'capacity', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'up'], ['regulatory_agency', 'approval_action', 'guideline', 'down'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
13,3,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up']]","[['poultry_company', 'production_action', 'production', 'up'], ['us_government_agency', 'forecast_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'down'], ['poultry_industry_association', 'report_action', 'poultry_product', 'up'], ['us_government_agency', 'subsidy_action', 'production', 'up']]",0.0,0.0,0.0,0.47345121476298724,1.0,0.0
14,1,5,"[['market', 'price_action', 'price', 'ambiguous']]","[['us_government_agency', 'forecast_action', 'price', 'ambiguous'], ['poultry_industry_association', 'production_action', 'capacity', 'up'], ['market', 'health_event_action', 'disease_event', 'down'], ['united_states', 'trade_policy_action', 'tariff', 'up'], ['market', 'price_action', 'poultry_product', 'up']]",0.0,0.0,0.0,0.5,1.0,0.0
15,3,5,"[['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'down'], ['united_states', 'health_event_action', 'disease_event', 'ambiguous']]","[['market', 'forecast_action', 'price', 'down'], ['united_states', 'trade_policy_action', 'import', 'down'], ['poultry_company', 'production_action', 'production', 'up'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['us_government_agency', 'subsidy_action', 'production', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
