idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['market', 'forecast_action', 'capacity', 'up'], ['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'tariff', 'down']]","[['poultry_company', 'production_action', 'capacity', 'up'], ['us_government_agency', 'report_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'forecast_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'down']]",0.2,0.2,0.20000000000000004,0.4683134817711907,1.0,0.13000000000000003
1,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['poultry_company', 'production_action', 'capacity', 'down'], ['us_government_agency', 'report_action', 'price', 'down'], ['poultry_industry_association', 'forecast_action', 'price', 'ambiguous']]",0.2,0.5,0.28571428571428575,0.4744438181276604,1.0,0.1685714285714286
2,3,5,"[['market', 'forecast_action', 'production', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_industry_association', 'report_action', 'production', 'ambiguous'], ['us_government_agency', 'report_action', 'price', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['poultry_company', 'production_action', 'production', 'ambiguous'], ['market', 'forecast_action', 'price', 'ambiguous']]",0.2,0.6666666666666666,0.30769230769230765,0.5703323992730301,1.0,0.17846153846153845
3,3,5,"[['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'ambiguous']]","[['poultry_company', 'health_event_action', 'disease_event', 'up'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['market', 'price_action', 'export', 'up'], ['us_government_agency', 'report_action', 'capacity', 'down'], ['poultry_company', 'production_action', 'production', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
4,1,5,"[['us_government_agency', 'subsidy_action', 'capacity', 'ambiguous']]","[['us_government_agency', 'report_action', 'production', 'up'], ['poultry_industry_association', 'report_action', 'capacity', 'up'], ['market', 'price_action', 'price', 'down'], ['poultry_company', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['us_government_agency', 'approval_action', 'poultry_product', 'ambiguous']]","[['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['market', 'price_action', 'export', 'up'], ['poultry_company', 'production_action', 'production', 'down'], ['us_government_agency', 'report_action', 'production', 'down'], ['market', 'price_action', 'price', 'up']]",0.2,0.25,0.22222222222222224,0.10571373275946365,1.0,0.14
6,2,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up']]","[['poultry_company', 'production_action', 'capacity', 'up'], ['us_government_agency', 'report_action', 'production', 'up'], ['poultry_industry_association', 'forecast_action', 'price', 'down'], ['market', 'trade_policy_action', 'export', 'down'], ['poultry_company', 'health_event_action', 'disease_event', 'down']]",0.0,0.0,0.0,0.19342640361727081,1.0,0.0
7,4,5,"[['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'up']]","[['poultry_company', 'production_action', 'production', 'down'], ['us_government_agency', 'report_action', 'production', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'trade_policy_action', 'export', 'up'], ['poultry_industry_association', 'forecast_action', 'price', 'up']]",0.2,0.25,0.22222222222222224,0.3547636022455122,1.0,0.14
8,3,5,"[['market', 'report_action', 'production', 'ambiguous'], ['united_states', 'forecast_action', 'production', 'down'], ['us_government_agency', 'forecast_action', 'price', 'down']]","[['market', 'price_action', 'price', 'down'], ['poultry_company', 'production_action', 'production', 'up'], ['poultry_company', 'production_action', 'capacity', 'up'], ['us_government_agency', 'report_action', 'production', 'up'], ['poultry_industry_association', 'forecast_action', 'price', 'down']]",0.0,0.0,0.0,0.32541025928005457,1.0,0.0
9,4,5,"[['market', 'forecast_action', 'import', 'up'], ['market', 'forecast_action', 'production', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'down']]","[['market', 'price_action', 'price', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['market', 'trade_policy_action', 'export', 'up'], ['us_government_agency', 'report_action', 'production', 'down']]",0.2,0.25,0.22222222222222224,0.4463708566063992,1.0,0.14
