idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['market', 'forecast_action', 'capacity', 'up'], ['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'tariff', 'down']]","[['poultry_company', 'production_action', 'capacity', 'up'], ['market', 'price_action', 'export', 'down'], ['poultry_industry_association', 'report_action', 'production', 'up'], ['us_government_agency', 'trade_policy_action', 'tariff', 'down'], ['market', 'forecast_action', 'price', 'down']]",0.2,0.2,0.20000000000000004,0.41924788313520456,1.0,0.13000000000000003
1,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_company', 'production_action', 'capacity', 'up'], ['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'production', 'up'], ['us_government_agency', 'report_action', 'export', 'down'], ['poultry_company', 'forecast_action', 'price', 'down']]",0.2,0.5,0.28571428571428575,0.41940721035265804,1.0,0.1685714285714286
2,3,5,"[['market', 'forecast_action', 'production', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_company', 'production_action', 'capacity', 'up'], ['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'production', 'up'], ['us_government_agency', 'report_action', 'poultry_product', 'ambiguous'], ['poultry_company', 'forecast_action', 'price', 'down']]",0.2,0.6666666666666666,0.30769230769230765,0.3868528072345416,1.0,0.17846153846153845
3,3,5,"[['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'ambiguous']]","[['poultry_company', 'health_event_action', 'disease_event', 'up'], ['us_government_agency', 'report_action', 'export', 'up'], ['market', 'price_action', 'price', 'up'], ['poultry_industry_association', 'production_action', 'capacity', 'down'], ['united_states', 'trade_policy_action', 'tariff', 'up']]",0.2,0.6666666666666666,0.30769230769230765,0.23463936301137822,1.0,0.17846153846153845
4,1,5,"[['us_government_agency', 'subsidy_action', 'capacity', 'ambiguous']]","[['poultry_company', 'production_action', 'capacity', 'up'], ['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'production', 'up'], ['us_government_agency', 'report_action', 'poultry_product', 'ambiguous'], ['poultry_company', 'trade_policy_action', 'export', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['us_government_agency', 'approval_action', 'poultry_product', 'ambiguous']]","[['poultry_company', 'production_action', 'capacity', 'down'], ['us_government_agency', 'report_action', 'production', 'down'], ['market', 'price_action', 'price', 'up'], ['poultry_industry_association', 'forecast_action', 'price', 'up'], ['united_states', 'trade_policy_action', 'export', 'up']]",0.2,0.25,0.22222222222222224,0.13663301749723558,1.0,0.14
6,2,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up']]","[['poultry_company', 'production_action', 'capacity', 'up'], ['market', 'price_action', 'price', 'down'], ['us_government_agency', 'report_action', 'production', 'up'], ['poultry_industry_association', 'forecast_action', 'price', 'ambiguous'], ['united_states', 'trade_policy_action', 'export', 'up']]",0.2,0.5,0.28571428571428575,0.42408376325554364,1.0,0.1685714285714286
7,4,5,"[['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'up']]","[['poultry_company', 'production_action', 'capacity', 'down'], ['us_government_agency', 'report_action', 'production', 'down'], ['market', 'price_action', 'poultry_product', 'up'], ['poultry_industry_association', 'forecast_action', 'price', 'up'], ['poultry_company', 'health_event_action', 'disease_event', 'up']]",0.0,0.0,0.0,0.08406376813555873,1.0,0.0
8,3,5,"[['market', 'report_action', 'production', 'ambiguous'], ['united_states', 'forecast_action', 'production', 'down'], ['us_government_agency', 'forecast_action', 'price', 'down']]","[['poultry_company', 'production_action', 'capacity', 'up'], ['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'production', 'up'], ['us_government_agency', 'trade_policy_action', 'export', 'down'], ['poultry_company', 'forecast_action', 'price', 'down']]",0.0,0.0,0.0,0.23881185175160896,1.0,0.0
9,4,5,"[['market', 'forecast_action', 'import', 'up'], ['market', 'forecast_action', 'production', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'down']]","[['poultry_company', 'production_action', 'capacity', 'down'], ['market', 'forecast_action', 'production', 'down'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'export', 'up'], ['market', 'price_action', 'price', 'up']]",0.4,0.5,0.4444444444444445,0.44961113399821906,1.0,0.28
10,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'down']]","[['market', 'price_action', 'price', 'down'], ['poultry_company', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'export', 'down'], ['poultry_industry_association', 'report_action', 'production', 'up'], ['us_government_agency', 'report_action', 'price', 'down']]",0.2,0.5,0.28571428571428575,0.4658898591060043,1.0,0.1685714285714286
11,1,5,"[['market', 'health_event_action', 'disease_event', 'ambiguous']]","[['poultry_company', 'production_action', 'production', 'down'], ['market', 'price_action', 'price', 'up'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'report_action', 'price', 'up'], ['united_states', 'trade_policy_action', 'export', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
12,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'price_action', 'export', 'down'], ['market', 'price_action', 'price', 'ambiguous']]","[['poultry_company', 'production_action', 'capacity', 'up'], ['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'production', 'up'], ['us_government_agency', 'report_action', 'poultry_product', 'down'], ['claxton_poultry_farms', 'production_action', 'production', 'up']]",0.2,0.5,0.28571428571428575,0.34551649373043897,1.0,0.1685714285714286
13,3,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up']]","[['poultry_industry_association', 'production_action', 'capacity', 'up'], ['poultry_company', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['us_government_agency', 'report_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'export', 'up']]",0.2,0.3333333333333333,0.25,0.41334218284117114,1.0,0.15250000000000002
14,1,5,"[['market', 'price_action', 'price', 'ambiguous']]","[['poultry_company', 'production_action', 'capacity', 'down'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['market', 'price_action', 'export', 'up'], ['us_government_agency', 'report_action', 'production', 'down'], ['poultry_company', 'forecast_action', 'price', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
15,3,5,"[['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'down'], ['united_states', 'health_event_action', 'disease_event', 'ambiguous']]","[['poultry_company', 'production_action', 'capacity', 'up'], ['market', 'price_action', 'price', 'down'], ['us_government_agency', 'report_action', 'production', 'up'], ['poultry_industry_association', 'forecast_action', 'price', 'down'], ['united_states', 'trade_policy_action', 'export', 'up']]",0.2,0.3333333333333333,0.25,0.20725733767610566,1.0,0.15250000000000002
