idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['market', 'forecast_action', 'capacity', 'up'], ['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'tariff', 'down']]","[['market', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['united_states', 'trade_policy_action', 'export', 'down'], ['poultry_industry_association', 'report_action', 'production', 'up'], ['us_government_agency', 'report_action', 'poultry_product', 'down']]",0.4,0.4,0.4000000000000001,0.5619847655091386,1.0,0.26000000000000006
1,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_company', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'import', 'up'], ['us_government_agency', 'approval_action', 'export', 'up'], ['poultry_industry_association', 'report_action', 'production', 'up'], ['market', 'health_event_action', 'disease_event', 'ambiguous']]",0.0,0.0,0.0,0.2792537931316096,1.0,0.0
2,3,5,"[['market', 'forecast_action', 'production', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_company', 'production_action', 'production', 'down'], ['market', 'trade_policy_action', 'import', 'up'], ['us_government_agency', 'approval_action', 'export', 'up'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['market', 'price_action', 'price', 'ambiguous']]",0.2,0.6666666666666666,0.30769230769230765,0.12707925477614684,1.0,0.17846153846153845
3,3,5,"[['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'ambiguous']]","[['market', 'price_action', 'price', 'up'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'export', 'up'], ['market', 'health_event_action', 'disease_event', 'ambiguous'], ['poultry_company', 'production_action', 'capacity', 'down']]",0.2,0.6666666666666666,0.30769230769230765,0.46927872602275644,1.0,0.17846153846153845
4,1,5,"[['us_government_agency', 'subsidy_action', 'capacity', 'ambiguous']]","[['poultry_company', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['us_government_agency', 'approval_action', 'import', 'up'], ['poultry_industry_association', 'report_action', 'production', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'ambiguous']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['us_government_agency', 'approval_action', 'poultry_product', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'import', 'down'], ['poultry_company', 'production_action', 'production', 'down'], ['market', 'health_event_action', 'disease_event', 'ambiguous'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
6,2,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['market', 'price_action', 'price', 'up'], ['us_government_agency', 'approval_action', 'export', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['united_states', 'trade_policy_action', 'import', 'down']]",0.2,0.5,0.28571428571428575,0.38685280723454163,1.0,0.1685714285714286
7,4,5,"[['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'up']]","[['united_states', 'trade_policy_action', 'export', 'up'], ['market', 'price_action', 'price', 'up'], ['health_event_action', 'disease_event', 'up', 'UNK'], ['us_government_agency', 'report_action', 'production', 'down'], ['united_states', 'subsidy_action', 'subsidy', 'down']]",0.2,0.25,0.22222222222222224,0.44149241373678083,1.0,0.14
8,3,5,"[['market', 'report_action', 'production', 'ambiguous'], ['united_states', 'forecast_action', 'production', 'down'], ['us_government_agency', 'forecast_action', 'price', 'down']]","[['poultry_company', 'production_action', 'production', 'up'], ['market', 'health_event_action', 'disease_event', 'ambiguous'], ['us_government_agency', 'trade_policy_action', 'import', 'up'], ['poultry_industry_association', 'report_action', 'production', 'up'], ['market', 'forecast_action', 'demand', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
9,4,5,"[['market', 'forecast_action', 'import', 'up'], ['market', 'forecast_action', 'production', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'down']]","[['market', 'price_action', 'price', 'up'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'export', 'up'], ['poultry_company', 'production_action', 'capacity', 'ambiguous'], ['market', 'forecast_action', 'price', 'ambiguous']]",0.2,0.25,0.22222222222222224,0.3964172293648361,1.0,0.14
10,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'down']]","[['poultry_industry_association', 'report_action', 'production', 'up'], ['us_government_agency', 'trade_policy_action', 'export', 'down'], ['market', 'price_action', 'price', 'down'], ['poultry_company', 'production_action', 'capacity', 'up'], ['us_government_agency', 'report_action', 'import', 'up']]",0.2,0.5,0.28571428571428575,0.19519002499605084,1.0,0.1685714285714286
11,1,5,"[['market', 'health_event_action', 'disease_event', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['market', 'trade_policy_action', 'export', 'up'], ['us_government_agency', 'approval_action', 'import', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['market', 'price_action', 'price', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
12,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'price_action', 'export', 'down'], ['market', 'price_action', 'price', 'ambiguous']]","[['poultry_company', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'export', 'down'], ['us_government_agency', 'report_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'forecast_action', 'demand', 'down']]",0.2,0.5,0.28571428571428575,0.5336255072542235,1.0,0.1685714285714286
13,3,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up']]","[['market', 'price_action', 'price', 'down'], ['poultry_company', 'production_action', 'production', 'up'], ['us_government_agency', 'trade_policy_action', 'import', 'up'], ['poultry_industry_association', 'report_action', 'production', 'up'], ['market', 'health_event_action', 'disease_event', 'ambiguous']]",0.2,0.3333333333333333,0.25,0.5775897369491358,1.0,0.15250000000000002
14,1,5,"[['market', 'price_action', 'price', 'ambiguous']]","[['market', 'health_event_action', 'disease_event', 'up'], ['united_states', 'trade_policy_action', 'export', 'up'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'approval_action', 'export', 'up'], ['poultry_company', 'production_action', 'capacity', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
15,3,4,"[['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'down'], ['united_states', 'health_event_action', 'disease_event', 'ambiguous']]","[['poultry_company', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'export', 'down'], ['us_government_agency', 'approval_action', 'import', 'up'], ['market', 'health_event_action', 'disease_event', 'ambiguous']]",0.0,0.0,0.0,0.24909462873320642,1.0,0.0
