idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['market', 'forecast_action', 'capacity', 'up'], ['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'tariff', 'down']]","[['poultry_company', 'production_action', 'production', 'up'], ['us_government_agency', 'report_action', 'surplus', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'down'], ['poultry_industry_association', 'forecast_action', 'price', 'down'], ['market', 'health_event_action', 'disease_event', 'up']]",0.0,0.0,0.0,0.25437015395521206,1.0,0.0
1,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['market', 'price_action', 'price', 'down'], ['poultry_company', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'down'], ['united_states_government_agency', 'report_action', 'guideline', 'down'], ['market', 'health_event_action', 'disease_event', 'down']]",0.2,0.5,0.28571428571428575,0.5135312443624667,1.0,0.1685714285714286
2,3,5,"[['market', 'forecast_action', 'production', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_company', 'production_action', 'production', 'up'], ['us_government_agency', 'approval_action', 'guideline', 'up'], ['poultry_industry_association', 'report_action', 'demand', 'up'], ['health_event', 'health_event_action', 'disease_event', 'down'], ['trade_policy', 'trade_policy_action', 'tariff', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
3,3,5,"[['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'ambiguous']]","[['poultry_company', 'health_event_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['market', 'forecast_action', 'price', 'up'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up']]",0.0,0.0,0.0,0.11731968150568911,1.0,0.0
4,1,5,"[['us_government_agency', 'subsidy_action', 'capacity', 'ambiguous']]","[['poultry_industry_association', 'production_action', 'production', 'up'], ['us_government_agency', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['market', 'forecast_action', 'price', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['us_government_agency', 'approval_action', 'poultry_product', 'ambiguous']]","[['united_states', 'report_action', 'price', 'up'], ['poultry_company', 'production_action', 'price', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'up'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
6,2,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up']]","[['united_states', 'report_action', 'forecast', 'down'], ['poultry_company', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'down'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['claxton_poultry_farms', 'price_action', 'price', 'down']]",0.0,0.0,0.0,0.19342640361727081,1.0,0.0
7,4,5,"[['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'up']]","[['poultry_company', 'price_action', 'price', 'up'], ['us_government_agency', 'forecast_action', 'demand', 'up'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up']]",0.0,0.0,0.0,0.19519002499605084,1.0,0.0
8,3,0,"[['market', 'report_action', 'production', 'ambiguous'], ['united_states', 'forecast_action', 'production', 'down'], ['us_government_agency', 'forecast_action', 'price', 'down']]",[],0.0,0.0,0.0,0.0,1.0,0.0
9,4,5,"[['market', 'forecast_action', 'import', 'up'], ['market', 'forecast_action', 'production', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'down']]","[['us_government_agency', 'report_action', 'production', 'down'], ['united_states', 'trade_policy_action', 'tariff', 'up'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['market', 'price_action', 'price', 'up']]",0.2,0.25,0.22222222222222224,0.3009037577555145,1.0,0.14
