idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['market', 'forecast_action', 'capacity', 'up'], ['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'tariff', 'down']]","[['poultry_company', 'production_action', 'production', 'up'], ['us_government_agency', 'report_action', 'disease_event', 'down'], ['us_government_agency', 'trade_policy_action', 'import', 'up'], ['poultry_industry_association', 'forecast_action', 'capacity', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up']]",0.0,0.0,0.0,0.24261427755816128,1.0,0.0
1,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'guideline', 'down'], ['poultry_company', 'production_action', 'capacity', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'down'], ['market', 'trade_policy_action', 'tariff', 'down']]",0.2,0.5,0.28571428571428575,0.3903800499921017,1.0,0.1685714285714286
2,3,5,"[['market', 'forecast_action', 'production', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_industry_association', 'report_action', 'price', 'down'], ['poultry_company', 'production_action', 'capacity', 'up'], ['us_government_agency', 'approval_action', 'guideline', 'ambiguous'], ['market', 'trade_policy_action', 'import', 'down'], ['poultry_company', 'price_action', 'poultry_product', 'down']]",0.0,0.0,0.0,0.23463936301137822,1.0,0.0
3,3,5,"[['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'disease_event', 'up'], ['market', 'price_action', 'export', 'up'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['united_states', 'health_event_action', 'poultry_product', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
4,1,5,"[['us_government_agency', 'subsidy_action', 'capacity', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'guideline', 'ambiguous'], ['us_government_agency', 'approval_action', 'subsidy', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['market', 'price_action', 'poultry_product', 'down'], ['united_states', 'trade_policy_action', 'import', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['us_government_agency', 'approval_action', 'poultry_product', 'ambiguous']]","[['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['market', 'price_action', 'feed', 'up'], ['market', 'demand_action', 'holiday_season', 'up'], ['us_government_agency', 'trade_policy_action', 'import', 'down'], ['market', 'production_action', 'transportation', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
6,2,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up']]","[['poultry_industry_association', 'report_action', 'price', 'down'], ['us_government_agency', 'forecast_action', 'production', 'up'], ['poultry_company', 'production_action', 'capacity', 'up'], ['market', 'price_action', 'poultry_product', 'down'], ['united_states', 'trade_policy_action', 'import', 'up']]",0.0,0.0,0.0,0.19342640361727081,1.0,0.0
7,4,5,"[['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'up']]","[['market', 'price_action', 'price', 'up'], ['poultry_industry_association', 'report_action', 'guideline', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['market', 'health_event_action', 'disease_event', 'up']]",0.2,0.25,0.22222222222222224,0.3903800499921017,1.0,0.14
8,3,5,"[['market', 'report_action', 'production', 'ambiguous'], ['united_states', 'forecast_action', 'production', 'down'], ['us_government_agency', 'forecast_action', 'price', 'down']]","[['poultry_industry_association', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['us_government_agency', 'trade_policy_action', 'import', 'up'], ['poultry_company', 'production_action', 'capacity', 'up'], ['health_event_action', 'disease_event', 'poultry_product', 'down']]",0.0,0.0,0.0,0.1480409554829326,1.0,0.0
9,4,5,"[['market', 'forecast_action', 'import', 'up'], ['market', 'forecast_action', 'production', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'down']]","[['market', 'price_action', 'price', 'up'], ['poultry_industry_association', 'report_action', 'guideline', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['us_government_agency', 'trade_policy_action', 'import', 'down'], ['market', 'demand_action', 'poultry_product', 'up']]",0.2,0.25,0.22222222222222224,0.27326603499447116,1.0,0.14
