idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['market', 'forecast_action', 'capacity', 'up'], ['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'tariff', 'down']]","[['poultry_industry_association', 'report_action', 'price', 'down'], ['poultry_company', 'production_action', 'production', 'up'], ['us_government_agency', 'trade_policy_action', 'export', 'down'], ['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'down']]",0.2,0.2,0.20000000000000004,0.2092409772571583,1.0,0.13000000000000003
1,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_industry_association', 'report_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['us_government_agency', 'trade_policy_action', 'import', 'up'], ['poultry_company', 'production_action', 'poultry_product', 'up'], ['market', 'health_event_action', 'disease_event', 'down']]",0.2,0.5,0.28571428571428575,0.44149241373678083,1.0,0.1685714285714286
2,3,5,"[['market', 'forecast_action', 'production', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'production', 'up'], ['us_government_agency', 'trade_policy_action', 'import', 'up'], ['claxton_poultry_farms', 'production_action', 'poultry_product', 'up'], ['market', 'health_event_action', 'disease_event', 'ambiguous']]",0.2,0.6666666666666666,0.30769230769230765,0.46927872602275644,1.0,0.17846153846153845
3,3,5,"[['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'import', 'down'], ['market', 'price_action', 'price', 'up'], ['claxton_poultry_farms', 'health_event_action', 'disease_event', 'up'], ['poultry_company', 'production_action', 'capacity', 'down']]",0.2,0.6666666666666666,0.30769230769230765,0.23463936301137822,1.0,0.17846153846153845
4,1,5,"[['us_government_agency', 'subsidy_action', 'capacity', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['us_government_agency', 'trade_policy_action', 'import', 'up'], ['poultry_company', 'production_action', 'poultry_product', 'up'], ['market', 'forecast_action', 'price', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['us_government_agency', 'approval_action', 'poultry_product', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'health_event_action', 'disease_event', 'up'], ['market', 'price_action', 'price', 'up'], ['claxton_poultry_farms', 'production_action', 'poultry_product', 'down'], ['united_states', 'trade_policy_action', 'export', 'down']]",0.2,0.25,0.22222222222222224,0.13663301749723558,1.0,0.14
6,2,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up']]","[['market', 'price_action', 'price', 'down'], ['poultry_company', 'production_action', 'production', 'down'], ['us_government_agency', 'report_action', 'poultry_product', 'ambiguous'], ['poultry_industry_association', 'forecast_action', 'price', 'down'], ['market', 'trade_policy_action', 'import', 'down']]",0.2,0.5,0.28571428571428575,0.42920303493582085,1.0,0.1685714285714286
7,4,5,"[['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'up']]","[['poultry_industry_association', 'production_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'import', 'down'], ['market', 'price_action', 'price', 'up'], ['poultry_company', 'health_event_action', 'disease_event', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up']]",0.2,0.25,0.22222222222222224,0.19519002499605084,1.0,0.14
8,3,5,"[['market', 'report_action', 'production', 'ambiguous'], ['united_states', 'forecast_action', 'production', 'down'], ['us_government_agency', 'forecast_action', 'price', 'down']]","[['poultry_industry_association', 'production_action', 'poultry_product', 'up'], ['market', 'price_action', 'price', 'down'], ['us_government_agency', 'trade_policy_action', 'import', 'up'], ['poultry_company', 'health_event_action', 'disease_event', 'down'], ['united_states', 'report_action', 'price', 'down']]",0.0,0.0,0.0,0.23881185175160896,1.0,0.0
9,4,5,"[['market', 'forecast_action', 'import', 'up'], ['market', 'forecast_action', 'production', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'down']]","[['poultry_industry_association', 'report_action', 'price', 'up'], ['us_government_agency', 'trade_policy_action', 'import', 'down'], ['market', 'price_action', 'poultry_product', 'up'], ['claxton_poultry_farms', 'production_action', 'production', 'down'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'down']]",0.0,0.0,0.0,0.08406376813555873,1.0,0.0
10,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'down']]","[['poultry_industry_association', 'report_action', 'price', 'down'], ['market', 'production_action', 'poultry_product', 'up'], ['us_government_agency', 'trade_policy_action', 'import', 'up'], ['claxton_poultry_farms', 'production_action', 'poultry_product', 'up'], ['market', 'health_event_action', 'disease_event', 'down']]",0.0,0.0,0.0,0.19519002499605084,1.0,0.0
11,1,5,"[['market', 'health_event_action', 'disease_event', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'price', 'up'], ['us_government_agency', 'subsidy_action', 'production', 'down'], ['market', 'price_action', 'poultry_product', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['united_states', 'trade_policy_action', 'export', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
