idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['market', 'forecast_action', 'capacity', 'up'], ['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'tariff', 'down']]","[['poultry_company', 'price_action', 'price', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'down'], ['poultry_industry_association', 'report_action', 'disease_event', 'ambiguous'], ['claxton_poultry_farms', 'production_action', 'capacity', 'up'], ['united_states', 'subsidy_action', 'subsidy', 'up']]",0.0,0.0,0.0,0.18002730728861702,1.0,0.0
1,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_company', 'price_action', 'price', 'down'], ['poultry_company', 'production_action', 'production', 'up'], ['us_government_agency', 'trade_policy_action', 'tariff', 'down'], ['poultry_industry_association', 'report_action', 'guideline', 'ambiguous'], ['claxton_poultry_farms', 'subsidy_action', 'subsidy', 'up']]",0.0,0.0,0.0,0.31834121936641585,1.0,0.0
2,3,5,"[['market', 'forecast_action', 'production', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_company', 'price_action', 'price', 'down'], ['poultry_industry_association', 'forecast_action', 'price', 'down'], ['us_government_agency', 'report_action', 'price', 'down'], ['poultry_company', 'production_action', 'production', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up']]",0.0,0.0,0.0,0.5,1.0,0.0
3,3,5,"[['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'ambiguous']]","[['poultry_company', 'price_action', 'price', 'up'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'health_event_action', 'disease_event', 'up'], ['market', 'price_action', 'price', 'up'], ['poultry_industry_association', 'forecast_action', 'production', 'down']]",0.2,0.6666666666666666,0.30769230769230765,0.4367467095119258,1.0,0.17846153846153845
4,1,5,"[['us_government_agency', 'subsidy_action', 'capacity', 'ambiguous']]","[['market', 'price_action', 'price', 'down'], ['united_states', 'trade_policy_action', 'tariff', 'down'], ['poultry_company', 'production_action', 'capacity', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'down'], ['poultry_industry_association', 'report_action', 'guideline', 'ambiguous']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['us_government_agency', 'approval_action', 'poultry_product', 'ambiguous']]","[['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'health_event_action', 'disease_event', 'up'], ['poultry_industry_association', 'forecast_action', 'price', 'up'], ['claxton_poultry_farms', 'production_action', 'production', 'down'], ['market', 'price_action', 'price', 'up']]",0.2,0.25,0.22222222222222224,0.10571373275946365,1.0,0.14
6,2,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up']]","[['market', 'price_action', 'price', 'down'], ['poultry_company', 'production_action', 'capacity', 'down'], ['poultry_industry_association', 'forecast_action', 'price', 'down'], ['claxton_poultry_farms', 'health_event_action', 'disease_event', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'down']]",0.2,0.5,0.28571428571428575,0.42920303493582085,1.0,0.1685714285714286
7,4,5,"[['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'up']]","[['poultry_industry_association', 'report_action', 'disease_event', 'up'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['claxton_poultry_farms', 'production_action', 'production', 'down'], ['united_states', 'subsidy_action', 'subsidy', 'down'], ['market', 'price_action', 'price', 'up']]",0.2,0.25,0.22222222222222224,0.15101961822780524,1.0,0.14
8,3,5,"[['market', 'report_action', 'production', 'ambiguous'], ['united_states', 'forecast_action', 'production', 'down'], ['us_government_agency', 'forecast_action', 'price', 'down']]","[['us_government_agency', 'trade_policy_action', 'tariff', 'down'], ['poultry_company', 'production_action', 'capacity', 'up'], ['claxton_poultry_farms', 'subsidy_action', 'subsidy', 'up'], ['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'guideline', 'ambiguous']]",0.0,0.0,0.0,0.10105367325027378,1.0,0.0
9,4,5,"[['market', 'forecast_action', 'import', 'up'], ['market', 'forecast_action', 'production', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'down']]","[['us_government_agency', 'subsidy_action', 'subsidy', 'up'], ['poultry_company', 'forecast_action', 'price', 'up'], ['claxton_poultry_farms', 'health_event_action', 'disease_event', 'down'], ['poultry_industry_association', 'report_action', 'guideline', 'ambiguous'], ['united_states', 'trade_policy_action', 'tariff', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
