idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['market', 'forecast_action', 'capacity', 'up'], ['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'tariff', 'down']]","[['poultry_company', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'import', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up'], ['market', 'health_event_action', 'disease_event', 'down'], ['poultry_industry_association', 'report_action', 'price', 'down']]",0.0,0.0,0.0,0.16958010263680806,1.0,0.0
1,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_company', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'export', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up'], ['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'capacity', 'up']]",0.2,0.5,0.28571428571428575,0.36331756126716835,1.0,0.1685714285714286
2,3,5,"[['market', 'forecast_action', 'production', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_company', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'import', 'up'], ['market', 'price_action', 'price', 'down'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up'], ['poultry_industry_association', 'report_action', 'guideline', 'ambiguous']]",0.2,0.6666666666666666,0.30769230769230765,0.23463936301137822,1.0,0.17846153846153845
3,3,5,"[['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'ambiguous']]","[['poultry_company', 'production_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['united_states', 'subsidy_action', 'subsidy', 'down'], ['market', 'price_action', 'price', 'up']]",0.2,0.6666666666666666,0.30769230769230765,0.18154179253735267,1.0,0.17846153846153845
4,1,5,"[['us_government_agency', 'subsidy_action', 'capacity', 'ambiguous']]","[['poultry_company', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'down'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'down'], ['united_states', 'trade_policy_action', 'export', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['us_government_agency', 'approval_action', 'poultry_product', 'ambiguous']]","[['poultry_company', 'production_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['united_states', 'trade_policy_action', 'export', 'down'], ['market', 'price_action', 'price', 'up']]",0.2,0.25,0.22222222222222224,0.10571373275946365,1.0,0.14
6,2,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up']]","[['poultry_company', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'down'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up'], ['market', 'health_event_action', 'disease_event', 'down'], ['poultry_industry_association', 'report_action', 'production', 'up']]",0.0,0.0,0.0,0.4251724527673773,1.0,0.0
7,4,5,"[['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'up']]","[['poultry_company', 'production_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['united_states', 'subsidy_action', 'subsidy', 'down'], ['market', 'price_action', 'price', 'up']]",0.2,0.25,0.22222222222222224,0.15101961822780524,1.0,0.14
8,3,5,"[['market', 'report_action', 'production', 'ambiguous'], ['united_states', 'forecast_action', 'production', 'down'], ['us_government_agency', 'forecast_action', 'price', 'down']]","[['poultry_company', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'import', 'up'], ['poultry_industry_association', 'approval_action', 'capacity', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up'], ['market', 'price_action', 'price', 'down']]",0.0,0.0,0.0,0.09077089626867633,1.0,0.0
9,4,5,"[['market', 'forecast_action', 'import', 'up'], ['market', 'forecast_action', 'production', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'down']]","[['poultry_company', 'production_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'export', 'up'], ['market', 'price_action', 'price', 'up'], ['poultry_industry_association', 'report_action', 'guideline', 'ambiguous'], ['united_states', 'subsidy_action', 'subsidy', 'up']]",0.2,0.25,0.22222222222222224,0.3318230424932864,1.0,0.14
10,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'down']]","[['market', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'import', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up'], ['poultry_company', 'production_action', 'capacity', 'up'], ['poultry_industry_association', 'report_action', 'price', 'down']]",0.2,0.25,0.22222222222222224,0.34877584410837376,1.0,0.14
11,1,5,"[['market', 'health_event_action', 'disease_event', 'ambiguous']]","[['poultry_company', 'production_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['claxton_poultry_farms', 'health_event_action', 'disease_event', 'ambiguous'], ['united_states', 'subsidy_action', 'subsidy', 'down'], ['market', 'forecast_action', 'export', 'up']]",0.0,0.0,0.0,0.25,1.0,0.0
12,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'price_action', 'export', 'down'], ['market', 'price_action', 'price', 'ambiguous']]","[['united_states', 'trade_policy_action', 'tariff', 'down'], ['poultry_company', 'production_action', 'production', 'up'], ['market', 'production_action', 'capacity', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up'], ['poultry_industry_association', 'report_action', 'production', 'up']]",0.0,0.0,0.0,0.1986610034842676,1.0,0.0
13,3,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up']]","[['poultry_company', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'import', 'up'], ['us_government_agency', 'approval_action', 'capacity', 'up'], ['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'export', 'down']]",0.2,0.3333333333333333,0.25,0.3761145055617615,1.0,0.15250000000000002
14,1,5,"[['market', 'price_action', 'price', 'ambiguous']]","[['poultry_company', 'production_action', 'production', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'up'], ['market', 'price_action', 'price', 'up'], ['poultry_industry_association', 'report_action', 'guideline', 'ambiguous']]",0.2,1.0,0.33333333333333337,0.30147359065137513,1.0,0.19000000000000003
