idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['market', 'forecast_action', 'capacity', 'up'], ['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'tariff', 'down']]","[['poultry_industry_association', 'report_action', 'production', 'up'], ['us_government_agency', 'trade_policy_action', 'export', 'down'], ['poultry_company', 'production_action', 'capacity', 'up'], ['us_government_agency', 'health_event_action', 'disease_event', 'ambiguous'], ['market', 'price_action', 'poultry_product', 'down']]",0.0,0.0,0.0,0.25437015395521206,1.0,0.0
1,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_company', 'production_action', 'capacity', 'down'], ['poultry_industry_association', 'report_action', 'export', 'down'], ['market', 'price_action', 'poultry_product', 'down'], ['poultry_company', 'production_action', 'production', 'down'], ['market', 'trade_policy_action', 'import', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
2,3,5,"[['market', 'forecast_action', 'production', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_company', 'production_action', 'capacity', 'up'], ['poultry_industry_association', 'report_action', 'disease_event', 'down'], ['united_states', 'trade_policy_action', 'export', 'ambiguous'], ['market', 'price_action', 'poultry_product', 'down'], ['us_government_agency', 'report_action', 'production', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
3,3,5,"[['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'ambiguous']]","[['poultry_company', 'health_event_action', 'disease_event', 'up'], ['us_government_agency', 'report_action', 'disease_event', 'up'], ['poultry_industry_association', 'production_action', 'capacity', 'down'], ['market', 'price_action', 'poultry_product', 'up'], ['claxton_poultry_farms', 'production_action', 'capacity', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
4,1,5,"[['us_government_agency', 'subsidy_action', 'capacity', 'ambiguous']]","[['poultry_company', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['us_government_agency', 'report_action', 'poultry_product', 'down'], ['poultry_industry_association', 'forecast_action', 'export', 'down'], ['poultry_company', 'production_action', 'capacity', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['us_government_agency', 'approval_action', 'poultry_product', 'ambiguous']]","[['poultry_company', 'production_action', 'capacity', 'down'], ['poultry_company', 'health_event_action', 'disease_event', 'up'], ['united_states', 'trade_policy_action', 'export', 'up'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['market', 'price_action', 'poultry_product', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
6,2,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up']]","[['poultry_company', 'production_action', 'capacity', 'up'], ['poultry_industry_association', 'report_action', 'export', 'down'], ['poultry_company', 'health_event_action', 'disease_event', 'ambiguous'], ['market', 'price_action', 'poultry_product', 'down'], ['poultry_industry_association', 'forecast_action', 'price', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
7,4,5,"[['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'up']]","[['market', 'price_action', 'poultry_product', 'up'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'report_action', 'export', 'ambiguous'], ['poultry_company', 'production_action', 'capacity', 'down'], ['united_states', 'health_event_action', 'disease_event', 'ambiguous']]",0.0,0.0,0.0,0.0,1.0,0.0
8,3,5,"[['market', 'report_action', 'production', 'ambiguous'], ['united_states', 'forecast_action', 'production', 'down'], ['us_government_agency', 'forecast_action', 'price', 'down']]","[['poultry_company', 'production_action', 'capacity', 'up'], ['market', 'price_action', 'poultry_product', 'down'], ['poultry_industry_association', 'report_action', 'disease_event', 'ambiguous'], ['us_government_agency', 'trade_policy_action', 'import', 'up'], ['poultry_company', 'production_action', 'production', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
9,4,5,"[['market', 'forecast_action', 'import', 'up'], ['market', 'forecast_action', 'production', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'down']]","[['poultry_industry_association', 'production_action', 'capacity', 'down'], ['poultry_company', 'price_action', 'poultry_product', 'up'], ['united_states', 'trade_policy_action', 'export', 'up'], ['market', 'price_action', 'price', 'up'], ['us_government_agency', 'report_action', 'production', 'ambiguous']]",0.2,0.25,0.22222222222222224,0.11768927538978223,1.0,0.14
10,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'down']]","[['poultry_company', 'production_action', 'production', 'up'], ['poultry_industry_association', 'report_action', 'capacity', 'up'], ['market', 'price_action', 'poultry_product', 'down'], ['united_states', 'trade_policy_action', 'import', 'ambiguous'], ['poultry_company', 'production_action', 'poultry_product', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
11,1,5,"[['market', 'health_event_action', 'disease_event', 'ambiguous']]","[['market', 'price_action', 'poultry_product', 'up'], ['poultry_industry_association', 'production_action', 'capacity', 'ambiguous'], ['us_government_agency', 'report_action', 'export', 'up'], ['poultry_company', 'production_action', 'disease_event', 'down'], ['claxton_poultry_farms', 'production_action', 'price', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
12,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'price_action', 'export', 'down'], ['market', 'price_action', 'price', 'ambiguous']]","[['poultry_company', 'production_action', 'capacity', 'up'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['market', 'price_action', 'price', 'down'], ['poultry_company', 'production_action', 'production', 'up'], ['us_government_agency', 'report_action', 'disease_event', 'up']]",0.2,0.5,0.28571428571428575,0.22069678563279432,1.0,0.1685714285714286
13,3,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up']]","[['poultry_company', 'production_action', 'capacity', 'up'], ['poultry_industry_association', 'report_action', 'export', 'down'], ['market', 'price_action', 'poultry_product', 'down'], ['poultry_company', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'import', 'up']]",0.0,0.0,0.0,0.10105367325027378,1.0,0.0
14,1,5,"[['market', 'price_action', 'price', 'ambiguous']]","[['poultry_company', 'production_action', 'capacity', 'down'], ['poultry_industry_association', 'report_action', 'disease_event', 'up'], ['market', 'price_action', 'poultry_product', 'up'], ['united_states', 'trade_policy_action', 'export', 'up'], ['us_government_agency', 'report_action', 'production', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
15,3,5,"[['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'down'], ['united_states', 'health_event_action', 'disease_event', 'ambiguous']]","[['poultry_company', 'production_action', 'capacity', 'up'], ['us_government_agency', 'report_action', 'production', 'up'], ['poultry_industry_association', 'forecast_action', 'price', 'down'], ['market', 'price_action', 'poultry_product', 'down'], ['poultry_company', 'production_action', 'disease_event', 'ambiguous']]",0.0,0.0,0.0,0.09077089626867633,1.0,0.0
