idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['market', 'forecast_action', 'capacity', 'up'], ['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'tariff', 'down']]","[['poultry_industry_association', 'report_action', 'production', 'up'], ['poultry_company', 'production_action', 'production', 'up'], ['us_government_agency', 'trade_policy_action', 'tariff', 'down'], ['market', 'price_action', 'price', 'down'], ['claxton_poultry_farms', 'health_event_action', 'disease_event', 'ambiguous']]",0.2,0.2,0.20000000000000004,0.4636111312123704,1.0,0.13000000000000003
1,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_industry_association', 'report_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'down'], ['poultry_company', 'production_action', 'production', 'up'], ['claxton_poultry_farms', 'health_event_action', 'disease_event', 'ambiguous']]",0.2,0.5,0.28571428571428575,0.5255561818723395,1.0,0.1685714285714286
2,3,5,"[['market', 'forecast_action', 'production', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_industry_association', 'production_action', 'production', 'up'], ['poultry_company', 'production_action', 'production', 'up'], ['us_government_agency', 'trade_policy_action', 'tariff', 'down'], ['market', 'price_action', 'price', 'down'], ['claxton_poultry_farms', 'health_event_action', 'disease_event', 'ambiguous']]",0.2,0.6666666666666666,0.30769230769230765,0.20210734650054757,1.0,0.17846153846153845
3,3,5,"[['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'ambiguous']]","[['market', 'price_action', 'price', 'up'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['united_states', 'health_event_action', 'disease_event', 'ambiguous']]",0.2,0.6666666666666666,0.30769230769230765,0.46927872602275644,1.0,0.17846153846153845
4,1,5,"[['us_government_agency', 'subsidy_action', 'capacity', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'production', 'up'], ['poultry_company', 'production_action', 'production', 'up'], ['us_government_agency', 'trade_policy_action', 'tariff', 'down'], ['market', 'price_action', 'price', 'down'], ['claxton_poultry_farms', 'health_event_action', 'disease_event', 'ambiguous']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['us_government_agency', 'approval_action', 'poultry_product', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'price', 'up'], ['poultry_company', 'production_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['claxton_poultry_farms', 'health_event_action', 'disease_event', 'down'], ['market', 'price_action', 'price', 'up']]",0.2,0.25,0.22222222222222224,0.10571373275946365,1.0,0.14
6,2,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up']]","[['poultry_industry', 'report', 'price', 'down'], ['poultry_company', 'production', 'poultry_product', 'up'], ['us_government_agency', 'trade_policy', 'tariff', 'ambiguous'], ['claxton_poultry_farms', 'health_event', 'disease', 'down'], ['market', 'forecast', 'price', 'up']]",0.0,0.0,0.0,0.11859885638464811,1.0,0.0
7,4,5,"[['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'up']]","[['poultry_company', 'production_action', 'production', 'up'], ['poultry_industry_association', 'report_action', 'price', 'up'], ['united_states', 'trade_policy_action', 'import', 'ambiguous'], ['claxton_poultry_farms', 'price_action', 'price', 'up'], ['us_government_agency', 'health_event_action', 'disease_event', 'down']]",0.0,0.0,0.0,0.40240498750197456,1.0,0.0
8,3,5,"[['market', 'report_action', 'production', 'ambiguous'], ['united_states', 'forecast_action', 'production', 'down'], ['us_government_agency', 'forecast_action', 'price', 'down']]","[['poultry_company', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'ambiguous'], ['poultry_industry_association', 'report_action', 'guideline', 'ambiguous'], ['claxton_poultry_farms', 'health_event_action', 'disease_event', 'down']]",0.0,0.0,0.0,0.1480409554829326,1.0,0.0
9,4,5,"[['market', 'forecast_action', 'import', 'up'], ['market', 'forecast_action', 'production', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'down']]","[['poultry_industry_association', 'forecast_action', 'production', 'down'], ['us_government_agency', 'health_event_action', 'disease_event', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['united_states', 'trade_policy_action', 'tariff', 'up'], ['market', 'price_action', 'price', 'up']]",0.2,0.25,0.22222222222222224,0.3009037577555145,1.0,0.14
