idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['market', 'forecast_action', 'capacity', 'up'], ['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'tariff', 'down']]","[['poultry_industry_association', 'production_action', 'capacity', 'up'], ['united_states', 'trade_policy_action', 'export', 'up'], ['market', 'price_action', 'price', 'down'], ['us_government_agency', 'subsidy_action', 'poultry_product', 'down'], ['poultry_company', 'health_event_action', 'disease_event', 'up']]",0.2,0.2,0.20000000000000004,0.2882861744825737,1.0,0.13000000000000003
1,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_industry_association', 'production_action', 'capacity', 'up'], ['poultry_company', 'cost_action', 'feed_cost', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'up'], ['market', 'demand_action', 'retail_sales', 'down'], ['us_government_agency', 'subsidy_action', 'poultry_product', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
2,3,5,"[['market', 'forecast_action', 'production', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'down'], ['poultry_company', 'production_action', 'capacity', 'up'], ['united_states', 'health_event_action', 'disease_event', 'ambiguous'], ['poultry_company', 'subsidy_action', 'subsidy', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
3,3,5,"[['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'ambiguous']]","[['poultry_industry_association', 'production_action', 'capacity', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'health_event_action', 'disease_event', 'up'], ['united_states', 'subsidy_action', 'subsidy', 'up'], ['claxton_poultry_farms', 'price_action', 'price', 'up']]",0.0,0.0,0.0,0.09077089626867633,1.0,0.0
4,1,5,"[['us_government_agency', 'subsidy_action', 'capacity', 'ambiguous']]","[['poultry_industry_association', 'production_action', 'capacity', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'price_action', 'price', 'up'], ['poultry_company', 'subsidy_action', 'subsidy', 'down'], ['market', 'health_event_action', 'disease_event', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['us_government_agency', 'approval_action', 'poultry_product', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['poultry_company', 'production_action', 'capacity', 'down'], ['united_states', 'trade_policy_action', 'tariff', 'up'], ['market', 'price_action', 'poultry_product', 'up'], ['us_government_agency', 'guideline_action', 'processing', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
6,2,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up']]","[['poultry_industry_association', 'forecast_action', 'production', 'up'], ['poultry_company', 'production_action', 'capacity', 'up'], ['united_states', 'trade_policy_action', 'import', 'ambiguous'], ['us_government_agency', 'subsidy_action', 'poultry_product', 'down'], ['market', 'price_action', 'price', 'down']]",0.2,0.5,0.28571428571428575,0.4726119953212365,1.0,0.1685714285714286
7,4,5,"[['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'up']]","[['market', 'price_action', 'poultry_product', 'up'], ['united_states', 'trade_policy_action', 'import', 'down'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['poultry_company', 'subsidy_action', 'capacity', 'up'], ['us_government_agency', 'health_event_action', 'disease_event', 'ambiguous']]",0.0,0.0,0.0,0.0,1.0,0.0
8,3,5,"[['market', 'report_action', 'production', 'ambiguous'], ['united_states', 'forecast_action', 'production', 'down'], ['us_government_agency', 'forecast_action', 'price', 'down']]","[['poultry_industry_association', 'production_action', 'capacity', 'up'], ['poultry_company', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'import', 'down'], ['market', 'price_action', 'price', 'down'], ['us_government_agency', 'report_action', 'poultry_product', 'down']]",0.0,0.0,0.0,0.10105367325027378,1.0,0.0
9,4,5,"[['market', 'forecast_action', 'import', 'up'], ['market', 'forecast_action', 'production', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'down']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['poultry_company', 'production_action', 'capacity', 'up'], ['united_states', 'subsidy_action', 'poultry_product', 'up'], ['us_government_agency', 'trade_policy_action', 'import', 'down'], ['market', 'price_action', 'price', 'up']]",0.2,0.25,0.22222222222222224,0.3009037577555145,1.0,0.14
