idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['market', 'forecast_action', 'capacity', 'up'], ['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'tariff', 'down']]","[['poultry_industry_association', 'report_action', 'production', 'up'], ['poultry_company', 'production_action', 'capacity', 'up'], ['united_states', 'health_event_action', 'disease_event', 'ambiguous'], ['us_government_agency', 'trade_policy_action', 'tariff', 'down'], ['market', 'price_action', 'poultry_product', 'down']]",0.0,0.0,0.0,0.34960740992542505,1.0,0.0
1,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_industry_association', 'production_action', 'production', 'down'], ['united_states', 'health_event_action', 'disease_event', 'ambiguous'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'price_action', 'price', 'down'], ['claxton_poultry_farms', 'production_action', 'capacity', 'down']]",0.0,0.0,0.0,0.08406376813555873,1.0,0.0
2,3,5,"[['market', 'forecast_action', 'production', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_company', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'export', 'down'], ['us_government_agency', 'report_action', 'guideline', 'ambiguous'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'ambiguous'], ['market', 'price_action', 'price', 'down']]",0.2,0.6666666666666666,0.30769230769230765,0.18154179253735267,1.0,0.17846153846153845
3,3,5,"[['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'disease_event', 'up'], ['united_states', 'trade_policy_action', 'export', 'down'], ['poultry_company', 'production_action', 'production', 'down'], ['market', 'price_action', 'price', 'up'], ['us_government_agency', 'health_event_action', 'disease_event', 'ambiguous']]",0.2,0.6666666666666666,0.30769230769230765,0.20210734650054757,1.0,0.17846153846153845
4,1,5,"[['us_government_agency', 'subsidy_action', 'capacity', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'export', 'down'], ['us_government_agency', 'health_event_action', 'disease_event', 'ambiguous'], ['poultry_company', 'production_action', 'capacity', 'up'], ['market', 'price_action', 'price', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['us_government_agency', 'approval_action', 'poultry_product', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['united_states', 'trade_policy_action', 'export', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['us_government_agency', 'health_event_action', 'disease_event', 'ambiguous'], ['market', 'price_action', 'price', 'up']]",0.2,0.25,0.22222222222222224,0.10571373275946365,1.0,0.14
6,2,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['united_states', 'trade_policy_action', 'export', 'down'], ['us_government_agency', 'health_event_action', 'disease_event', 'ambiguous'], ['poultry_company', 'production_action', 'capacity', 'down'], ['market', 'price_action', 'price', 'down']]",0.2,0.5,0.28571428571428575,0.16603839893850733,1.0,0.1685714285714286
7,4,5,"[['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'up']]","[['poultry_industry_association', 'report_action', 'disease_event', 'up'], ['poultry_company', 'production_action', 'production', 'down'], ['united_states', 'trade_policy_action', 'export', 'down'], ['market', 'price_action', 'price', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'ambiguous']]",0.2,0.25,0.22222222222222224,0.16812753627111746,1.0,0.14
8,3,5,"[['market', 'report_action', 'production', 'ambiguous'], ['united_states', 'forecast_action', 'production', 'down'], ['us_government_agency', 'forecast_action', 'price', 'down']]","[['poultry_industry_association', 'production_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'tariff', 'down'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['us_government_agency', 'report_action', 'guideline', 'ambiguous']]",0.0,0.0,0.0,0.10105367325027378,1.0,0.0
9,4,5,"[['market', 'forecast_action', 'import', 'up'], ['market', 'forecast_action', 'production', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'down']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['united_states', 'health_event_action', 'disease_event', 'ambiguous'], ['claxton_poultry_farms', 'price_action', 'price', 'up']]",0.0,0.0,0.0,0.19519002499605084,1.0,0.0
