idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['market', 'forecast_action', 'capacity', 'up'], ['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'tariff', 'down']]","[['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'up']]",0.2,0.2,0.20000000000000004,0.23741214369153127,1.0,0.13000000000000003
1,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['health_event_action', 'disease_event', 'poultry_product', 'down']]",0.2,0.5,0.28571428571428575,0.3903800499921017,1.0,0.1685714285714286
2,3,5,"[['market', 'forecast_action', 'production', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'production_action', 'export', 'down'], ['health_event_action', 'disease_event', 'poultry_product', 'down']]",0.2,0.6666666666666666,0.30769230769230765,0.46927872602275644,1.0,0.17846153846153845
3,3,5,"[['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'ambiguous']]","[['market', 'price_action', 'price', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['poultry_company', 'production_action', 'capacity', 'down'], ['health_event_action', 'disease_event', 'poultry_product', 'down']]",0.2,0.6666666666666666,0.30769230769230765,0.46927872602275644,1.0,0.17846153846153845
4,1,5,"[['us_government_agency', 'subsidy_action', 'capacity', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['market', 'price_action', 'price', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['us_government_agency', 'approval_action', 'poultry_product', 'ambiguous']]","[['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'production_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'export', 'down'], ['poultry_company', 'production_action', 'capacity', 'down'], ['market', 'price_action', 'poultry_product', 'down']]",0.2,0.25,0.22222222222222224,0.3903800499921017,1.0,0.14
6,2,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['poultry_company', 'production_action', 'capacity', 'down'], ['us_government_agency', 'trade_policy_action', 'export', 'down'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'down'], ['market', 'price_action', 'price', 'down']]",0.2,0.5,0.28571428571428575,0.16603839893850733,1.0,0.1685714285714286
7,4,5,"[['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'up']]","[['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['health_event_action', 'disease_event', 'poultry_product', 'down']]",0.2,0.25,0.22222222222222224,0.27326603499447116,1.0,0.14
8,3,5,"[['market', 'report_action', 'production', 'ambiguous'], ['united_states', 'forecast_action', 'production', 'down'], ['us_government_agency', 'forecast_action', 'price', 'down']]","[['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'export', 'down'], ['poultry_company', 'production_action', 'capacity', 'down'], ['health_event_action', 'disease_event', 'poultry_product', 'down']]",0.0,0.0,0.0,0.38268031849431083,1.0,0.0
9,4,5,"[['market', 'forecast_action', 'import', 'up'], ['market', 'forecast_action', 'production', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'down']]","[['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['health_event_action', 'disease_event', 'poultry_product', 'down']]",0.2,0.25,0.22222222222222224,0.5135312443624667,1.0,0.14
10,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'down']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['poultry_company', 'production_action', 'capacity', 'down'], ['us_government_agency', 'trade_policy_action', 'export', 'down'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'down'], ['market', 'price_action', 'price', 'down']]",0.2,0.5,0.28571428571428575,0.34620964322385606,1.0,0.1685714285714286
11,1,5,"[['market', 'health_event_action', 'disease_event', 'ambiguous']]","[['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['health_event_action', 'disease_event', 'poultry_product', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
