idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['market', 'forecast_action', 'capacity', 'up'], ['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'tariff', 'down']]","[['poultry_industry_association', 'forecast_action', 'production', 'up'], ['poultry_company', 'production_action', 'capacity', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['us_government_agency', 'report_action', 'production', 'up']]",0.0,0.0,0.0,0.3421757737602428,1.0,0.0
1,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'production', 'ambiguous'], ['us_government_agency', 'subsidy_action', 'production', 'up'], ['poultry_company', 'production_action', 'production', 'up'], ['us_government_agency', 'trade_policy_action', 'import', 'down']]",0.2,0.5,0.28571428571428575,0.5720388306256858,1.0,0.1685714285714286
2,3,5,"[['market', 'forecast_action', 'production', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['market', 'price_action', 'price', 'down'], ['poultry_company', 'production_action', 'production', 'up'], ['united_states', 'health_event_action', 'disease_event', 'ambiguous'], ['poultry_industry_association', 'report_action', 'price', 'down'], ['us_government_agency', 'subsidy_action', 'subsidy', 'down']]",0.2,0.6666666666666666,0.30769230769230765,0.5703323992730301,1.0,0.17846153846153845
3,3,5,"[['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'ambiguous']]","[['poultry_company', 'production_action', 'poultry_product', 'down'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'ambiguous'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'subsidy_action', 'subsidy', 'down'], ['united_states', 'report_action', 'guideline', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
4,1,5,"[['us_government_agency', 'subsidy_action', 'capacity', 'ambiguous']]","[['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'production_action', 'production', 'up'], ['us_government_agency', 'trade_policy_action', 'tariff', 'down'], ['poultry_company', 'production_action', 'production', 'up'], ['market', 'report_action', 'price', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['us_government_agency', 'approval_action', 'poultry_product', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'price', 'up'], ['poultry_company', 'production_action', 'production', 'down'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'up'], ['market', 'forecast_action', 'price', 'up'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
6,2,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up']]","[['market', 'price_action', 'poultry_product', 'down'], ['poultry_company', 'production_action', 'production', 'up'], ['us_government_agency', 'report_action', 'price', 'down'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'down'], ['united_states', 'trade_policy_action', 'tariff', 'up']]",0.0,0.0,0.0,0.19342640361727081,1.0,0.0
7,4,5,"[['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'up']]","[['poultry_company', 'production_action', 'production', 'down'], ['united_states', 'trade_policy_action', 'export', 'up'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'ambiguous'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up'], ['market', 'price_action', 'price', 'up']]",0.2,0.25,0.22222222222222224,0.2741708125981702,1.0,0.14
8,3,5,"[['market', 'report_action', 'production', 'ambiguous'], ['united_states', 'forecast_action', 'production', 'down'], ['us_government_agency', 'forecast_action', 'price', 'down']]","[['poultry_company', 'production_action', 'production', 'up'], ['us_government_agency', 'trade_policy_action', 'tariff', 'down'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'ambiguous'], ['poultry_industry_association', 'report_action', 'production', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
9,4,5,"[['market', 'forecast_action', 'import', 'up'], ['market', 'forecast_action', 'production', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'down']]","[['poultry_company', 'production_action', 'production', 'down'], ['poultry_industry_association', 'health_event_action', 'production', 'down'], ['us_government_agency', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'import', 'down'], ['poultry_industry_association', 'forecast_action', 'price', 'up']]",0.0,0.0,0.0,0.4159362318644413,1.0,0.0
10,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'down']]","[['poultry_company', 'production_action', 'poultry_product', 'up'], ['poultry_industry_association', 'forecast_action', 'production', 'up'], ['us_government_agency', 'trade_policy_action', 'tariff', 'down'], ['market', 'report_action', 'capacity', 'up'], ['united_states', 'subsidy_action', 'subsidy', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
11,1,5,"[['market', 'health_event_action', 'disease_event', 'ambiguous']]","[['poultry_company', 'production_action', 'production', 'down'], ['market', 'health_event_action', 'disease_event', 'up'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_industry_association', 'report_action', 'production', 'down'], ['market', 'price_action', 'price', 'up']]",0.2,1.0,0.33333333333333337,0.4416508275000202,1.0,0.19000000000000003
12,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'price_action', 'export', 'down'], ['market', 'price_action', 'price', 'ambiguous']]","[['poultry_company', 'production_action', 'production', 'up'], ['us_government_agency', 'report_action', 'production', 'up'], ['poultry_industry_association', 'forecast_action', 'production', 'up'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up'], ['united_states', 'trade_policy_action', 'export', 'up']]",0.0,0.0,0.0,0.4159362318644413,1.0,0.0
13,3,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up']]","[['poultry_industry_association', 'production_action', 'production', 'up'], ['us_government_agency', 'trade_policy_action', 'tariff', 'down'], ['us_government_agency', 'subsidy_action', 'subsidy', 'up'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'down'], ['market', 'report_action', 'production', 'up']]",0.0,0.0,0.0,0.32541025928005457,1.0,0.0
14,1,5,"[['market', 'price_action', 'price', 'ambiguous']]","[['us_government_agency', 'report_action', 'price', 'up'], ['poultry_company', 'production_action', 'production', 'down'], ['poultry_industry_association', 'health_event_action', 'disease_event', 'ambiguous'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['market', 'price_action', 'price', 'up']]",0.2,1.0,0.33333333333333337,0.2707969650641791,1.0,0.19000000000000003
15,3,5,"[['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'down'], ['united_states', 'health_event_action', 'disease_event', 'ambiguous']]","[['us_government_agency', 'report_action', 'production', 'down'], ['poultry_company', 'price_action', 'poultry_product', 'down'], ['united_states', 'trade_policy_action', 'tariff', 'down'], ['poultry_industry_association', 'health_event_action', 'production', 'up'], ['poultry_industry_association', 'forecast_action', 'price', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
