idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,5,5,"[['market', 'forecast_action', 'capacity', 'up'], ['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'tariff', 'down']]","[['poultry_industry_association', 'report_action', 'production', 'up'], ['united_states', 'trade_policy_action', 'import', 'up'], ['market', 'price_action', 'price', 'down'], ['us_government_agency', 'health_event_action', 'disease_event', 'ambiguous'], ['poultry_company', 'production_action', 'capacity', 'up']]",0.2,0.2,0.20000000000000004,0.3538887132387446,1.0,0.13000000000000003
1,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_industry_association', 'report_action', 'production', 'up'], ['us_government_agency', 'health_event_action', 'disease_event', 'ambiguous'], ['poultry_company', 'price_action', 'price', 'down'], ['united_states', 'trade_policy_action', 'import', 'up'], ['market', 'forecast_action', 'price', 'down']]",0.2,0.25,0.22222222222222224,0.4438046557218815,1.0,0.14
2,3,5,"[['market', 'forecast_action', 'production', 'ambiguous'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up']]","[['poultry_industry_association', 'production_action', 'production', 'down'], ['us_government_agency', 'report_action', 'price', 'ambiguous'], ['market', 'price_action', 'poultry_product', 'down'], ['poultry_company', 'production_action', 'capacity', 'down'], ['united_states', 'trade_policy_action', 'export', 'ambiguous']]",0.0,0.0,0.0,0.0,1.0,0.0
3,3,5,"[['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'disease_event', 'ambiguous'], ['us_government_agency', 'trade_policy_action', 'export', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['market', 'price_action', 'poultry_product', 'up'], ['united_states', 'health_event_action', 'disease_event', 'ambiguous']]",0.0,0.0,0.0,0.0,1.0,0.0
4,1,5,"[['us_government_agency', 'subsidy_action', 'capacity', 'ambiguous']]","[['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'report_action', 'production', 'up'], ['us_government_agency', 'health_event_action', 'disease_event', 'ambiguous'], ['united_states', 'trade_policy_action', 'export', 'down'], ['poultry_company', 'production_action', 'capacity', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'up'], ['us_government_agency', 'approval_action', 'poultry_product', 'ambiguous']]","[['poultry_industry_association', 'forecast_action', 'price', 'up'], ['us_government_agency', 'health_event_action', 'disease_event', 'ambiguous'], ['poultry_company', 'production_action', 'production', 'down'], ['united_states', 'trade_policy_action', 'export', 'up'], ['market', 'price_action', 'poultry_product', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
6,2,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up']]","[['us_government_agency', 'report_action', 'disease_event', 'ambiguous'], ['poultry_industry_association', 'forecast_action', 'production', 'down'], ['market', 'price_action', 'poultry_product', 'down'], ['united_states', 'trade_policy_action', 'export', 'up'], ['poultry_company', 'production_action', 'capacity', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
7,4,5,"[['market', 'forecast_action', 'price', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up'], ['market', 'trade_policy_action', 'export', 'up']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'trade_policy_action', 'tariff', 'up'], ['poultry_company', 'production_action', 'capacity', 'down'], ['united_states', 'health_event_action', 'disease_event', 'ambiguous'], ['market', 'price_action', 'poultry_product', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
8,3,5,"[['market', 'report_action', 'production', 'ambiguous'], ['united_states', 'forecast_action', 'production', 'down'], ['us_government_agency', 'forecast_action', 'price', 'down']]","[['market', 'price_action', 'price', 'down'], ['poultry_industry_association', 'production_action', 'production', 'up'], ['us_government_agency', 'trade_policy_action', 'import', 'up'], ['poultry_company', 'production_action', 'capacity', 'up'], ['market', 'health_event_action', 'disease_event', 'ambiguous']]",0.0,0.0,0.0,0.23463936301137822,1.0,0.0
9,4,5,"[['market', 'forecast_action', 'import', 'up'], ['market', 'forecast_action', 'production', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'production_action', 'production', 'down']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'health_event_action', 'disease_event', 'ambiguous'], ['poultry_company', 'production_action', 'capacity', 'down'], ['market', 'price_action', 'price', 'up'], ['united_states', 'trade_policy_action', 'export', 'up']]",0.2,0.25,0.22222222222222224,0.31287930038583306,1.0,0.14
10,4,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'price_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'down']]","[['poultry_industry_association', 'report_action', 'production', 'up'], ['us_government_agency', 'health_event_action', 'disease_event', 'ambiguous'], ['united_states', 'trade_policy_action', 'export', 'down'], ['market', 'price_action', 'price', 'down'], ['poultry_company', 'production_action', 'capacity', 'up']]",0.2,0.5,0.28571428571428575,0.16812753627111746,1.0,0.1685714285714286
11,1,5,"[['market', 'health_event_action', 'disease_event', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['poultry_company', 'production_action', 'capacity', 'down'], ['us_government_agency', 'health_event_action', 'disease_event', 'ambiguous'], ['market', 'price_action', 'price', 'up'], ['united_states', 'trade_policy_action', 'export', 'up']]",0.0,0.0,0.0,0.25,1.0,0.0
12,4,5,"[['market', 'forecast_action', 'production', 'up'], ['market', 'price_action', 'price', 'up'], ['market', 'price_action', 'export', 'down'], ['market', 'price_action', 'price', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'health_event_action', 'disease_event', 'ambiguous'], ['poultry_company', 'production_action', 'capacity', 'down'], ['market', 'price_action', 'price', 'down'], ['united_states', 'trade_policy_action', 'export', 'down']]",0.2,0.5,0.28571428571428575,0.19319908450368484,1.0,0.1685714285714286
13,3,5,"[['market', 'forecast_action', 'price', 'down'], ['market', 'price_action', 'price', 'up'], ['market', 'production_action', 'production', 'up']]","[['us_government_agency', 'report_action', 'production', 'up'], ['poultry_industry_association', 'forecast_action', 'production', 'up'], ['poultry_company', 'price_action', 'poultry_product', 'down'], ['united_states', 'health_event_action', 'disease_event', 'ambiguous'], ['market', 'price_action', 'price', 'down']]",0.2,0.3333333333333333,0.25,0.5097595732704577,1.0,0.15250000000000002
14,1,5,"[['market', 'price_action', 'price', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'production', 'down'], ['us_government_agency', 'health_event_action', 'disease_event', 'ambiguous'], ['market', 'price_action', 'price', 'up'], ['united_states', 'trade_policy_action', 'export', 'up'], ['poultry_company', 'production_action', 'capacity', 'down']]",0.2,1.0,0.33333333333333337,0.35,1.0,0.19000000000000003
15,3,5,"[['market', 'price_action', 'price', 'up'], ['united_states', 'forecast_action', 'export', 'down'], ['united_states', 'health_event_action', 'disease_event', 'ambiguous']]","[['poultry_industry_association', 'report_action', 'production', 'up'], ['us_government_agency', 'health_event_action', 'disease_event', 'ambiguous'], ['poultry_company', 'production_action', 'capacity', 'up'], ['market', 'price_action', 'price', 'down'], ['united_states', 'trade_policy_action', 'export', 'down']]",0.2,0.3333333333333333,0.25,0.38028699430199225,1.0,0.15250000000000002
