idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,12,5,"[['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'export', 'up'], ['eia', 'report_release', 'production', 'ambiguous'], ['eia', 'report_release', 'production', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'price', 'down'], ['united_states', 'price_change', 'gasoline', 'up'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['market', 'price_change', 'crude_oil', 'up'], ['united_states', 'release', 'inventory', 'down'], ['opec_plus', 'extend_cut', 'production', 'down']]",0.2,0.08333333333333333,0.11764705882352941,0.16958010263680806,1.0,0.09294117647058825
1,9,5,"[['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['opec_plus', 'production_raise', 'crude_oil', 'up'], ['united_states', 'release', 'crude_oil', 'up'], ['market', 'forecast_lower', 'price', 'down'], ['eia', 'forecast_lower', 'gasoline', 'down']]",0.0,0.0,0.0,0.13863671367752411,1.0,0.0
2,6,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'report_release', 'production', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['eia', 'report_release', 'gasoline', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
3,7,5,"[['eia', 'report_release', 'price', 'ambiguous'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'price_change', 'diesel', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['market', 'price_change', 'crude_oil', 'up'], ['opec_plus', 'extend_cut', 'production', 'down'], ['united_states', 'report_release', 'gasoline', 'up']]",0.2,0.14285714285714285,0.16666666666666666,0.404762744029787,1.0,0.115
4,8,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'crude_oil', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up'], ['opec_plus', 'forecast_lower', 'price', 'down'], ['eia', 'forecast_lower', 'gasoline', 'down']]",0.2,0.125,0.15384615384615385,0.2870204396558808,1.0,0.10923076923076924
5,4,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'release', 'inventory', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['eia', 'forecast_raise', 'price', 'up']]",0.2,0.25,0.22222222222222224,0.4658898591060043,1.0,0.14
6,5,5,"[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'price', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'report_release', 'gasoline', 'down'], ['market', 'price_change', 'crude_oil', 'up'], ['eia', 'forecast_raise', 'price', 'up']]",0.2,0.4,0.26666666666666666,0.404762744029787,1.0,0.16
7,6,5,"[['market', 'price_change', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'release', 'inventory', 'down'], ['market', 'price_change', 'crude_oil', 'up'], ['eia', 'forecast_raise', 'price', 'up']]",0.4,0.3333333333333333,0.3636363636363636,0.44908303229040863,1.0,0.24363636363636362
8,9,5,"[['market', 'price_change', 'price', 'up'], ['united_states', 'price_change', 'gasoline', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'forecast', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'release', 'inventory', 'down'], ['market', 'price_change', 'crude_oil', 'up'], ['eia', 'forecast_raise', 'price', 'up']]",0.6,0.3333333333333333,0.42857142857142855,0.7012236839470684,1.0,0.31285714285714283
9,7,5,"[['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['united_states', 'report_release', 'price', 'down'], ['eia', 'report_release', 'production', 'up'], ['united_states', 'price_change', 'gasoline', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['opec_plus', 'production_raise', 'crude_oil', 'up'], ['united_states', 'release', 'crude_oil', 'up'], ['market', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'gasoline', 'up']]",0.0,0.0,0.0,0.26481735860702105,1.0,0.0
