idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,12,5,"[['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'export', 'up'], ['eia', 'report_release', 'production', 'ambiguous'], ['eia', 'report_release', 'production', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'price', 'down'], ['united_states', 'price_change', 'gasoline', 'up'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['united_states', 'forecast_raise', 'demand', 'up'], ['opec_plus', 'extend_cut', 'production', 'up']]",0.0,0.0,0.0,0.319972692711383,1.0,0.0
1,9,5,"[['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'production_raise', 'crude_oil', 'down'], ['united_states', 'release', 'strategic_petroleum_reserve', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['market', 'forecast_lower', 'demand', 'down'], ['opec_plus', 'extend_cut', 'production', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
2,6,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up']]","[['market', 'price_change', 'gasoline', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['eia', 'report_release', 'inventory', 'up']]",0.4,0.16666666666666666,0.23529411764705882,0.4414080501635106,1.0,0.1858823529411765
3,7,5,"[['eia', 'report_release', 'price', 'ambiguous'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'price_change', 'diesel', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['united_states', 'forecast_raise', 'demand', 'up'], ['eia', 'report_release', 'rig_count', 'down']]",0.4,0.2857142857142857,0.3333333333333333,0.31937048795097733,1.0,0.23
4,8,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up']]","[['market', 'report_release', 'inventory', 'up'], ['eia', 'forecast_lower', 'demand', 'down'], ['opec_plus', 'production_raise', 'crude_oil', 'down'], ['united_states', 'sanction_impose', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up']]",0.2,0.125,0.15384615384615385,0.21599512883074581,1.0,0.10923076923076924
5,4,4,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'price', 'up']]","[['market', 'price_change', 'gasoline', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'inventory', 'up']]",0.5,0.25,0.3333333333333333,0.3639916641305122,1.0,0.25
6,5,5,"[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'price', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['market', 'price_change', 'gasoline', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'sanction_impose', 'export', 'ambiguous'], ['market', 'forecast_raise', 'price', 'up']]",0.2,0.4,0.26666666666666666,0.2795888034906985,1.0,0.16
7,6,5,"[['market', 'price_change', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['united_states', 'sanction_impose', 'export', 'down'], ['opec_plus', 'forecast_raise', 'price', 'up']]",0.4,0.3333333333333333,0.3636363636363636,0.5545531293439563,1.0,0.24363636363636362
8,9,5,"[['market', 'price_change', 'price', 'up'], ['united_states', 'price_change', 'gasoline', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'forecast', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down']]","[['market', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'up'], ['united_states', 'release', 'strategic_petroleum_reserves', 'down'], ['eia', 'forecast_raise', 'gasoline', 'up'], ['market', 'price_change', 'gasoline', 'down']]",0.2,0.1111111111111111,0.14285714285714285,0.4414509641840643,1.0,0.10428571428571429
9,7,5,"[['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['united_states', 'report_release', 'price', 'down'], ['eia', 'report_release', 'production', 'up'], ['united_states', 'price_change', 'gasoline', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up']]","[['opec_plus', 'production_raise', 'crude_oil', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'release', 'strategic_petroleum_reserves', 'down'], ['market', 'forecast_lower', 'demand', 'down'], ['opec_plus', 'extend_cut', 'production', 'ambiguous']]",0.0,0.0,0.0,0.0,1.0,0.0
