idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,12,5,"[['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'export', 'up'], ['eia', 'report_release', 'production', 'ambiguous'], ['eia', 'report_release', 'production', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'price', 'down'], ['united_states', 'price_change', 'gasoline', 'up'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'extend_cut', 'production', 'down'], ['opec_plus', 'forecast_lower', 'crude_oil', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'purchase', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up']]",0.0,0.0,0.0,0.13863671367752411,1.0,0.0
1,9,5,"[['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'forecast_lower', 'crude_oil', 'down'], ['market', 'production_raise', 'gasoline', 'down'], ['united_states', 'forecast_lower', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'down']]",0.2,0.2222222222222222,0.2105263157894737,0.28902930375209906,1.0,0.13473684210526315
2,6,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up']]","[['eia', 'report_release', 'inventory', 'ambiguous'], ['opec_plus', 'forecast_raise', 'brent', 'up'], ['united_states', 'production_cut', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['eia', 'forecast_lower', 'inventory', 'down']]",0.2,0.16666666666666666,0.1818181818181818,0.10224784488989451,1.0,0.12181818181818181
3,7,5,"[['eia', 'report_release', 'price', 'ambiguous'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'price_change', 'diesel', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'extend_cut', 'crude_oil', 'ambiguous'], ['market', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'crude_oil', 'down'], ['opec_plus', 'forecast_lower', 'brent', 'down']]",0.0,0.0,0.0,0.07303417492135322,1.0,0.0
4,8,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up']]","[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'forecast_lower', 'forecast', 'down'], ['opec_plus', 'forecast_lower', 'forecast', 'down'], ['opec_plus', 'production_raise', 'production', 'up']]",0.2,0.25,0.22222222222222224,0.3391602052736161,1.0,0.14
5,4,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'extend_cut', 'crude_oil', 'up'], ['united_states', 'forecast_raise', 'price', 'up'], ['market', 'price_change', 'gasoline', 'ambiguous'], ['opec_plus', 'forecast_raise', 'gasoline', 'up']]",0.2,0.25,0.22222222222222224,0.4879750624901271,1.0,0.14
6,5,5,"[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'price', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'ambiguous'], ['eia', 'report_release', 'inventory', 'ambiguous'], ['market', 'price_change', 'gasoline', 'up'], ['united_states', 'forecast_raise', 'gasoline', 'up'], ['opec_plus', 'forecast_lower', 'brent', 'down']]",0.2,0.4,0.26666666666666666,0.14979038531416927,1.0,0.16
7,6,5,"[['market', 'price_change', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'forecast_raise', 'forecast', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['opec_plus', 'export_ban_lift', 'export', 'up']]",0.4,0.16666666666666666,0.23529411764705882,0.2958587351568757,1.0,0.1858823529411765
8,9,5,"[['market', 'price_change', 'price', 'up'], ['united_states', 'price_change', 'gasoline', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'forecast', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down']]","[['opec_plus', 'production_cut', 'crude_oil', 'up'], ['eia', 'forecast_raise', 'gasoline', 'up'], ['market', 'price_change', 'inventory', 'down'], ['united_states', 'sanction_impose', 'crude_oil', 'up'], ['market', 'forecast_lower', 'price', 'down']]",0.0,0.0,0.0,0.5,1.0,0.0
9,7,5,"[['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['united_states', 'report_release', 'price', 'down'], ['eia', 'report_release', 'production', 'up'], ['united_states', 'price_change', 'gasoline', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['opec_plus', 'production_raise', 'crude_oil', 'up'], ['united_states', 'forecast_lower', 'price', 'down'], ['eia', 'forecast_lower', 'price', 'down'], ['market', 'price_change', 'gasoline', 'down']]",0.2,0.14285714285714285,0.16666666666666666,0.39602243611936283,1.0,0.115
