idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,12,5,"[['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'export', 'up'], ['eia', 'report_release', 'production', 'ambiguous'], ['eia', 'report_release', 'production', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'price', 'down'], ['united_states', 'price_change', 'gasoline', 'up'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'production_cut', 'production', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'sanction_impose', 'export', 'down'], ['market', 'price_change', 'crude_oil', 'up'], ['opec_plus', 'extend_cut', 'production', 'down']]",0.2,0.08333333333333333,0.11764705882352941,0.14606834984270645,1.0,0.09294117647058825
1,9,5,"[['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'brent', 'down'], ['opec_plus', 'production_raise', 'production', 'up'], ['eia', 'forecast_lower', 'forecast', 'down'], ['united_states', 'export_ban_lift', 'export', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
2,6,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['market', 'price_change', 'brent', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['united_states', 'production_raise', 'gasoline', 'up']]",0.0,0.0,0.0,0.06560253875617089,1.0,0.0
3,7,5,"[['eia', 'report_release', 'price', 'ambiguous'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'price_change', 'diesel', 'up']]","[['opec_plus', 'extend_cut', 'production', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['market', 'price_change', 'brent', 'up'], ['united_states', 'sanction_impose', 'crude_oil', 'down'], ['eia', 'report_release', 'rig_count', 'up']]",0.0,0.0,0.0,0.07303417492135322,1.0,0.0
4,8,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'brent', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up'], ['eia', 'report_release', 'rig_count', 'down'], ['opec_plus', 'extend_cut', 'production', 'down']]",0.0,0.0,0.0,0.0,1.0,0.0
5,4,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['market', 'price_change', 'crude_oil', 'up'], ['united_states', 'production_raise', 'gasoline', 'up'], ['opec_plus', 'extend_cut', 'production', 'down'], ['eia', 'forecast_raise', 'demand', 'up']]",0.2,0.25,0.22222222222222224,0.3903800499921017,1.0,0.14
6,5,5,"[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'price', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['opec_plus', 'extend_cut', 'production', 'down'], ['eia', 'forecast_raise', 'price', 'up'], ['opec_plus', 'production_cut', 'production', 'down']]",0.2,0.4,0.26666666666666666,0.4121943801949693,1.0,0.16
7,6,5,"[['market', 'price_change', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up']]","[['opec_plus', 'extend_cut', 'production', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['market', 'price_change', 'brent', 'up'], ['united_states', 'release', 'inventory', 'down'], ['eia', 'forecast_lower', 'forecast', 'down']]",0.2,0.16666666666666666,0.1818181818181818,0.14979038531416927,1.0,0.12181818181818181
8,9,5,"[['market', 'price_change', 'price', 'up'], ['united_states', 'price_change', 'gasoline', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'forecast', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down']]","[['eia', 'report_release', 'inventory', 'up'], ['opec_plus', 'forecast_raise', 'price', 'up'], ['opec_plus', 'extend_cut', 'production', 'down'], ['united_states', 'sanction_impose', 'export', 'down'], ['market', 'price_change', 'brent', 'down']]",0.2,0.1111111111111111,0.14285714285714285,0.344405276058795,1.0,0.10428571428571429
9,7,5,"[['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['united_states', 'report_release', 'price', 'down'], ['eia', 'report_release', 'production', 'up'], ['united_states', 'price_change', 'gasoline', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['opec_plus', 'production_raise', 'production', 'up'], ['market', 'price_change', 'brent', 'down'], ['eia', 'forecast_lower', 'forecast', 'down'], ['united_states', 'release', 'inventory', 'down']]",0.0,0.0,0.0,0.10699313236726378,1.0,0.0
