idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,12,5,"[['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'export', 'up'], ['eia', 'report_release', 'production', 'ambiguous'], ['eia', 'report_release', 'production', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'price', 'down'], ['united_states', 'price_change', 'gasoline', 'up'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'extend_cut', 'crude_oil', 'down'], ['united_states', 'sanction_impose', 'export', 'down'], ['market', 'purchase', 'gasoline', 'up']]",0.0,0.0,0.0,0.06560253875617089,1.0,0.0
1,9,5,"[['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'extend_cut', 'production', 'down'], ['united_states', 'report_release', 'inventory', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['united_states', 'purchase', 'crude_oil', 'up'], ['opec_plus', 'production_cut', 'crude_oil', 'down']]",0.0,0.0,0.0,0.08479005131840403,1.0,0.0
2,6,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'up'], ['opec_plus', 'extend_cut', 'crude_oil', 'up'], ['united_states', 'sanction_impose', 'export', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['market', 'purchase', 'gasoline', 'up']]",0.0,0.0,0.0,0.06560253875617089,1.0,0.0
3,7,5,"[['eia', 'report_release', 'price', 'ambiguous'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'price_change', 'diesel', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'extend_cut', 'crude_oil', 'up'], ['united_states', 'sanction_impose', 'export', 'down'], ['opec_plus', 'price_change', 'brent', 'up']]",0.2,0.14285714285714285,0.16666666666666666,0.23741214369153127,1.0,0.115
4,8,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'extend_cut', 'crude_oil', 'up'], ['united_states', 'sanction_impose', 'export', 'down'], ['market', 'forecast_raise', 'gasoline', 'up']]",0.2,0.125,0.15384615384615385,0.3030146824477022,1.0,0.10923076923076924
5,4,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['opec_plus', 'forecast_raise', 'price', 'up'], ['united_states', 'report_release', 'diesel', 'up'], ['market', 'purchase', 'natural_gas', 'ambiguous']]",0.2,0.25,0.22222222222222224,0.3708610474924966,1.0,0.14
6,5,5,"[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'price', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'up'], ['united_states', 'report_release', 'inventory', 'down'], ['opec_plus', 'extend_cut', 'production', 'up'], ['united_states', 'sanction_impose', 'export', 'down'], ['market', 'forecast_raise', 'gasoline', 'up']]",0.2,0.2,0.20000000000000004,0.21398626473452756,1.0,0.13000000000000003
7,6,5,"[['market', 'price_change', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'up'], ['opec_plus', 'extend_cut', 'production', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'sanction_impose', 'export', 'down'], ['opec_plus', 'forecast_lower', 'price', 'down']]",0.2,0.16666666666666666,0.1818181818181818,0.2882861744825737,1.0,0.12181818181818181
8,9,5,"[['market', 'price_change', 'price', 'up'], ['united_states', 'price_change', 'gasoline', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'forecast', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down']]","[['opec_plus', 'production_cut', 'crude_oil', 'up'], ['united_states', 'report_release', 'inventory', 'down'], ['opec_plus', 'price_change', 'gasoline', 'up'], ['united_states', 'sanction_impose', 'export', 'down'], ['market', 'forecast_raise', 'price', 'up']]",0.0,0.0,0.0,0.42696582507864683,1.0,0.0
9,7,5,"[['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['united_states', 'report_release', 'price', 'down'], ['eia', 'report_release', 'production', 'up'], ['united_states', 'price_change', 'gasoline', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up']]","[['eia', 'report_release', 'gasoline', 'forecast_lower'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'sanction_impose', 'export', 'down'], ['united_states', 'inventory', 'gasoline', 'release'], ['market', 'price_change', 'gasoline', 'down']]",0.2,0.14285714285714285,0.16666666666666666,0.13120507751234178,1.0,0.115
10,7,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'crude_oil', 'down'], ['united_states', 'price_change', 'gasoline', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up'], ['united_states', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'production', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'extend_cut', 'crude_oil', 'down'], ['united_states', 'forecast_lower', 'gasoline', 'down'], ['market', 'price_change', 'brent', 'down']]",0.0,0.0,0.0,0.4343974612438291,1.0,0.0
11,7,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'price', 'up'], ['united_states', 'price_change', 'gasoline', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'gasoline', 'down'], ['united_states', 'price_change', 'natural_gas', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'forecast_lower', 'demand', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'extend_cut', 'production', 'down'], ['united_states', 'release', 'strategic_petroleum_reserve', 'up']]",0.0,0.0,0.0,0.0,1.0,0.0
