idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,12,5,"[['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'export', 'up'], ['eia', 'report_release', 'production', 'ambiguous'], ['eia', 'report_release', 'production', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'price', 'down'], ['united_states', 'price_change', 'gasoline', 'up'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'extend_cut', 'production', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'release', 'inventory', 'down'], ['opec_plus', 'forecast_raise', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up']]",0.0,0.0,0.0,0.13863671367752411,1.0,0.0
1,9,5,"[['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'crude_oil', 'down'], ['united_states', 'release', 'gasoline', 'down'], ['opec_plus', 'forecast_raise', 'production', 'ambiguous'], ['eia', 'forecast_lower', 'demand', 'down']]",0.0,0.0,0.0,0.08479005131840403,1.0,0.0
2,6,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['united_states', 'release', 'gasoline', 'up'], ['opec_plus', 'forecast_raise', 'production', 'ambiguous'], ['market', 'price_change', 'crude_oil', 'down'], ['eia', 'report_release', 'inventory', 'up']]",0.0,0.0,0.0,0.10699313236726378,1.0,0.0
3,7,5,"[['eia', 'report_release', 'price', 'ambiguous'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'price_change', 'diesel', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'up'], ['united_states', 'release', 'inventory', 'down'], ['market', 'forecast_raise', 'gasoline', 'up'], ['opec_plus', 'extend_cut', 'production', 'ambiguous']]",0.2,0.14285714285714285,0.16666666666666666,0.2228245602355225,1.0,0.115
4,8,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['eia', 'forecast_lower', 'gasoline', 'down'], ['opec_plus', 'extend_cut', 'production', 'down'], ['united_states', 'release', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'up']]",0.2,0.125,0.15384615384615385,0.204239252433695,1.0,0.10923076923076924
5,4,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'ambiguous'], ['united_states', 'forecast_lower', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['eia', 'report_release', 'gasoline', 'up']]",0.2,0.25,0.22222222222222224,0.3903800499921017,1.0,0.14
6,5,5,"[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'price', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'sanction_impose', 'export', 'up'], ['opec_plus', 'forecast_raise', 'price', 'up'], ['united_states', 'release', 'inventory', 'ambiguous']]",0.2,0.4,0.26666666666666666,0.2870204396558808,1.0,0.16
7,6,5,"[['market', 'price_change', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['united_states', 'release', 'gasoline', 'up'], ['opec_plus', 'extend_cut', 'production', 'down'], ['market', 'forecast_raise', 'crude_oil', 'up'], ['united_states', 'purchase', 'strategic_reserve', 'down']]",0.2,0.16666666666666666,0.1818181818181818,0.41743945098014823,1.0,0.12181818181818181
8,9,5,"[['market', 'price_change', 'price', 'up'], ['united_states', 'price_change', 'gasoline', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'forecast', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down']]","[['eia', 'report_release', 'inventory', 'down'], ['united_states', 'release', 'crude_oil', 'down'], ['opec_plus', 'extend_cut', 'production', 'up'], ['market', 'price_change', 'gasoline', 'ambiguous'], ['eia', 'report_release', 'gasoline', 'up']]",0.4,0.2222222222222222,0.2857142857142857,0.5070105889196815,1.0,0.20857142857142857
9,7,5,"[['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['united_states', 'report_release', 'price', 'down'], ['eia', 'report_release', 'production', 'up'], ['united_states', 'price_change', 'gasoline', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['united_states', 'release', 'crude_oil', 'down'], ['opec_plus', 'production_raise', 'production', 'down'], ['eia', 'forecast_lower', 'gasoline', 'down'], ['market', 'price_change', 'brent', 'down']]",0.0,0.0,0.0,0.07303417492135322,1.0,0.0
