idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,12,5,"[['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'export', 'up'], ['eia', 'report_release', 'production', 'ambiguous'], ['eia', 'report_release', 'production', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'price', 'down'], ['united_states', 'price_change', 'gasoline', 'up'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'production_cut', 'production', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['united_states', 'production_cut', 'crude_oil', 'down'], ['eia', 'forecast_lower', 'production', 'down']]",0.0,0.0,0.0,0.25437015395521206,1.0,0.0
1,9,5,"[['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['market', 'report_release', 'price', 'down'], ['eia', 'forecast_lower', 'gasoline', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'export_ban_lift', 'gasoline', 'up'], ['market', 'price_change', 'gasoline', 'down']]",0.2,0.2222222222222222,0.2105263157894737,0.4808124874377669,1.0,0.13473684210526315
2,6,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['united_states', 'production_raise', 'gasoline', 'up'], ['eia', 'forecast_lower', 'price', 'down']]",0.4,0.3333333333333333,0.3636363636363636,0.37381935507050307,1.0,0.24363636363636362
3,7,5,"[['eia', 'report_release', 'price', 'ambiguous'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'price_change', 'diesel', 'up']]","[['market', 'report_release', 'inventory', 'down'], ['eia', 'forecast_lower', 'gasoline', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'price_change', 'gasoline', 'down'], ['market', 'report_release', 'production', 'ambiguous']]",0.2,0.14285714285714285,0.16666666666666666,0.16958010263680806,1.0,0.115
4,8,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'up'], ['united_states', 'forecast_lower', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'stable'], ['opec_plus', 'sanction_impose', 'export', 'down']]",0.4,0.25,0.3076923076923077,0.2520382302040638,1.0,0.21846153846153848
5,4,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'price', 'up']]","[['opec_plus', 'production_cut', 'production', 'ambiguous'], ['eia', 'report_release', 'inventory', 'down'], ['market', 'forecast_lower', 'gasoline', 'down'], ['united_states', 'production_raise', 'production', 'up'], ['eia', 'report_release', 'crude_oil', 'up']]",0.2,0.25,0.22222222222222224,0.24630238874073,1.0,0.14
6,5,5,"[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'price', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'production_cut', 'production', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['united_states', 'export_ban_lift', 'export', 'up'], ['opec_plus', 'forecast_lower', 'crude_oil', 'down']]",0.2,0.4,0.26666666666666666,0.21398626473452756,1.0,0.16
7,6,5,"[['market', 'price_change', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up']]","[['market', 'price_change', 'gasoline', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'forecast_lower', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'ambiguous']]",0.6,0.3333333333333333,0.42857142857142855,0.5807941448464246,1.0,0.31285714285714283
8,9,5,"[['market', 'price_change', 'price', 'up'], ['united_states', 'price_change', 'gasoline', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'forecast', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down']]","[['market', 'report_release', 'price', 'up'], ['eia', 'forecast_lower', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'production_raise', 'gasoline', 'up'], ['market', 'price_change', 'gasoline', 'stable']]",0.2,0.1111111111111111,0.14285714285714285,0.4414509641840643,1.0,0.10428571428571429
9,7,5,"[['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['united_states', 'report_release', 'price', 'down'], ['eia', 'report_release', 'production', 'up'], ['united_states', 'price_change', 'gasoline', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['united_states', 'production_raise', 'crude_oil', 'up'], ['market', 'forecast_lower', 'price', 'down']]",0.4,0.2857142857142857,0.3333333333333333,0.3614612739130466,1.0,0.23
