idx,gold_count,pred_count,ground_truth_events,predicted_events,precision_all,recall_primary@5,f1_primary@5,ndcg_primary@5,parsimony,overall
0,12,5,"[['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'export', 'up'], ['eia', 'report_release', 'production', 'ambiguous'], ['eia', 'report_release', 'production', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'price', 'down'], ['united_states', 'price_change', 'gasoline', 'up'], ['united_states', 'report_release', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['united_states', 'sanction_impose', 'export', 'ambiguous'], ['eia', 'forecast_raise', 'price', 'up'], ['opec_plus', 'production_raise', 'crude_oil', 'ambiguous']]",0.2,0.08333333333333333,0.11764705882352941,0.14606834984270645,1.0,0.09294117647058825
1,9,5,"[['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['market', 'price_change', 'gasoline', 'down'], ['eia', 'report_release', 'inventory', 'up'], ['united_states', 'forecast_lower', 'gasoline', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'ambiguous'], ['market', 'price_change', 'brent', 'down']]",0.2,0.2222222222222222,0.2105263157894737,0.4239502565920201,1.0,0.13473684210526315
2,6,5,"[['market', 'price_change', 'price', 'down'], ['market', 'price_change', 'price', 'up'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'ambiguous'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'forecast_lower', 'demand', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['united_states', 'sanction_impose', 'export', 'ambiguous']]",0.2,0.16666666666666666,0.1818181818181818,0.14606834984270645,1.0,0.12181818181818181
3,7,5,"[['eia', 'report_release', 'price', 'ambiguous'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'natural_gas', 'down'], ['united_states', 'price_change', 'diesel', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'forecast_raise', 'price', 'up'], ['opec_plus', 'production_raise', 'crude_oil', 'down'], ['eia', 'forecast_lower', 'price', 'down']]",0.2,0.14285714285714285,0.16666666666666666,0.3760488573690554,1.0,0.115
4,8,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['opec_plus', 'production_cut', 'crude_oil', 'down'], ['eia', 'forecast_lower', 'price', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'production', 'down'], ['eia', 'forecast_lower', 'forecast', 'down'], ['market', 'price_change', 'crude_oil', 'down'], ['opec_plus', 'sanction_impose', 'export', 'down']]",0.2,0.125,0.15384615384615385,0.14606834984270645,1.0,0.10923076923076924
5,4,5,"[['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'down'], ['market', 'price_change', 'price', 'up']]","[['eia', 'report_release', 'inventory', 'up'], ['opec_plus', 'production_cut', 'production', 'down'], ['eia', 'forecast_lower', 'forecast', 'down'], ['united_states', 'sanction_impose', 'production', 'down'], ['market', 'price_change', 'price', 'down']]",0.4,0.75,0.5217391304347827,0.4242856532222764,1.0,0.3147826086956522
6,5,5,"[['eia', 'report_release', 'inventory', 'up'], ['market', 'price_change', 'price', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'inventory', 'down'], ['united_states', 'report_release', 'price', 'up']]","[['opec_plus', 'production_cut', 'crude_oil', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['united_states', 'sanction_impose', 'export', 'ambiguous'], ['opec_plus', 'forecast_raise', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up']]",0.2,0.4,0.26666666666666666,0.2870204396558808,1.0,0.16
7,6,5,"[['market', 'price_change', 'price', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['api', 'report_release', 'price', 'up'], ['eia', 'report_release', 'inventory', 'up'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up']]","[['opec_plus', 'production_cut', 'production', 'down'], ['eia', 'report_release', 'inventory', 'up'], ['united_states', 'forecast_raise', 'demand', 'up'], ['opec_plus', 'extend_cut', 'production', 'down'], ['market', 'price_change', 'price', 'up']]",0.4,0.3333333333333333,0.3636363636363636,0.34519134224686937,1.0,0.24363636363636362
8,9,5,"[['market', 'price_change', 'price', 'up'], ['united_states', 'price_change', 'gasoline', 'up'], ['eia', 'forecast_raise', 'price', 'up'], ['eia', 'report_release', 'forecast', 'up'], ['eia', 'report_release', 'inventory', 'down'], ['eia', 'report_release', 'price', 'up'], ['market', 'price_change', 'crude_oil', 'up'], ['market', 'price_change', 'gasoline', 'up'], ['market', 'price_change', 'price', 'down']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_cut', 'production', 'up'], ['eia', 'forecast_raise', 'gasoline', 'up'], ['united_states', 'export_ban_lift', 'export', 'down'], ['market', 'price_change', 'price', 'ambiguous']]",0.4,0.3333333333333333,0.3636363636363636,0.5157938108506593,1.0,0.24363636363636362
9,7,5,"[['market', 'price_change', 'gasoline', 'down'], ['market', 'price_change', 'price', 'down'], ['eia', 'report_release', 'price', 'down'], ['united_states', 'report_release', 'price', 'down'], ['eia', 'report_release', 'production', 'up'], ['united_states', 'price_change', 'gasoline', 'down'], ['united_states', 'production_raise', 'crude_oil', 'up']]","[['eia', 'report_release', 'inventory', 'down'], ['opec_plus', 'production_raise', 'crude_oil', 'down'], ['market', 'price_change', 'gasoline', 'down'], ['eia', 'forecast_lower', 'price', 'down'], ['united_states', 'release', 'inventory', 'down']]",0.2,0.14285714285714285,0.16666666666666666,0.24261427755816128,1.0,0.115
